基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,福島１丁目,,男,,599,,12,8,9,7,9,2,6,5,1,3,5,3,2,1,1,3,2,2,1,4,3,2,4,9,6,9,10,5,6,10,12,11,23,22,19,14,14,11,11,17,11,15,10,13,8,10,10,5,3,10,8,19,6,10,7,5,8,3,8,2,10,10,7,6,6,6,5,5,3,4,6,3,4,6,4,6,2,2,3,4,2,3,3,2,3,2,2,1,,,,3,,,,1,,,,,,
2011/3/31,福島１丁目,,女,,657,,10,10,5,2,7,4,3,1,4,3,3,2,2,4,3,6,7,2,4,5,3,4,8,12,12,10,10,12,9,16,10,18,15,16,17,15,20,7,14,16,17,10,15,11,7,13,13,8,8,8,9,9,7,5,6,7,5,10,6,6,5,13,11,9,6,4,5,4,5,3,9,5,5,7,4,5,4,9,3,3,2,4,2,1,2,3,3,1,2,3,,,,1,,,1,1,,,1,
2011/3/31,福島１丁目,,計,694,1256,,22,18,14,9,16,6,9,6,5,6,8,5,4,5,4,9,9,4,5,9,6,6,12,21,18,19,20,17,15,26,22,29,38,38,36,29,34,18,25,33,28,25,25,24,15,23,23,13,11,18,17,28,13,15,13,12,13,13,14,8,15,23,18,15,12,10,10,9,8,7,15,8,9,13,8,11,6,11,6,7,4,7,5,3,5,5,5,2,2,3,,3,,1,,1,1,1,,,1,
2011/3/31,福島２丁目,,男,,322,,,,1,2,,1,,,1,1,,,1,,,,3,1,2,1,3,4,8,5,6,8,4,12,10,6,6,7,4,8,9,4,5,3,2,2,7,4,8,3,5,4,3,5,3,3,5,5,1,3,4,5,5,4,5,2,4,7,7,7,5,1,9,4,7,3,6,1,2,11,,6,1,4,4,,4,3,2,1,1,1,,3,2,1,,1,,,,,,,,,,
2011/3/31,福島２丁目,,女,,359,,2,1,,1,1,2,2,,,1,,1,2,2,2,,1,,,2,3,4,2,4,11,10,14,12,10,11,1,7,11,5,8,10,7,8,6,3,4,4,3,4,4,2,1,5,5,8,3,1,1,1,1,5,3,8,4,4,2,5,5,6,7,4,4,5,6,3,3,2,4,4,6,3,4,5,3,2,9,3,4,2,4,1,3,1,,2,,2,2,,1,1,1,,,1,1,
2011/3/31,福島２丁目,,計,472,681,,2,1,1,3,1,3,2,,1,2,,1,3,2,2,,4,1,2,3,6,8,10,9,17,18,18,24,20,17,7,14,15,13,17,14,12,11,8,5,11,8,11,7,9,6,4,10,8,11,8,6,2,4,5,10,8,12,9,6,6,12,12,13,12,5,13,9,13,6,9,3,6,15,6,9,5,9,7,2,13,6,6,3,5,2,3,4,2,3,,3,2,,1,1,1,,,1,1,
2011/3/31,福島３丁目,,男,,877,,9,6,4,6,9,3,6,1,8,5,7,9,1,3,3,9,6,7,6,11,5,8,10,9,13,18,14,18,24,12,17,13,16,19,20,19,13,16,18,16,13,17,12,21,13,16,14,14,11,13,17,10,18,9,9,10,9,12,11,9,12,15,18,22,12,5,10,9,7,10,8,7,9,4,8,9,7,4,5,4,3,2,,1,4,,2,1,1,,1,,,1,,1,,,,,,
2011/3/31,福島３丁目,,女,,1041,,11,6,3,4,6,6,7,12,7,6,10,4,6,8,6,11,6,7,6,15,8,5,8,10,13,16,18,21,22,23,30,20,21,19,17,15,19,18,21,23,17,15,13,12,15,19,16,14,8,17,14,10,11,11,12,15,11,9,16,14,26,10,19,19,12,8,9,14,11,10,14,6,12,11,10,11,8,11,8,7,5,7,4,5,4,2,3,3,1,2,2,1,,,1,1,,,1,,,
2011/3/31,福島３丁目,,計,1030,1918,,20,12,7,10,15,9,13,13,15,11,17,13,7,11,9,20,12,14,12,26,13,13,18,19,26,34,32,39,46,35,47,33,37,38,37,34,32,34,39,39,30,32,25,33,28,35,30,28,19,30,31,20,29,20,21,25,20,21,27,23,38,25,37,41,24,13,19,23,18,20,22,13,21,15,18,20,15,15,13,11,8,9,4,6,8,2,5,4,2,2,3,1,,1,1,2,,,1,,,
2011/3/31,福島４丁目,,男,,1072,,29,20,15,13,7,6,10,7,7,7,6,10,4,4,8,3,7,7,3,7,6,14,11,15,12,22,20,26,32,29,37,36,33,36,28,28,28,35,24,34,16,18,15,17,17,22,19,10,13,12,10,13,6,7,10,5,9,8,10,9,8,6,10,11,4,9,6,13,10,5,6,2,4,3,4,9,1,3,6,2,1,4,3,,2,1,1,1,,2,,,,1,1,,,,,1,,
