基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,平野馬場１丁目,,男,0,301,0,10,6,5,5,5,4,4,3,4,0,3,1,7,2,1,3,1,1,0,2,3,1,1,3,4,2,4,6,8,13,9,15,15,11,7,17,7,8,4,3,1,2,2,4,2,6,1,3,2,3,2,2,0,0,1,1,1,2,2,2,2,3,5,0,6,0,5,3,4,1,2,1,2,1,1,2,4,0,2,2,3,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/31,平野馬場１丁目,,女,0,273,0,8,8,9,7,1,3,4,4,1,4,2,3,3,0,2,0,0,0,1,1,0,1,1,2,2,5,6,6,11,13,14,3,12,7,10,10,7,2,6,5,6,4,3,0,0,5,3,1,4,3,0,1,3,1,2,0,0,4,3,2,3,6,2,2,0,1,0,1,1,1,4,0,0,2,2,2,0,0,4,1,2,1,0,1,2,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2020/3/31,平野馬場１丁目,,計,260,574,0,18,14,14,12,6,7,8,7,5,4,5,4,10,2,3,3,1,1,1,3,3,2,2,5,6,7,10,12,19,26,23,18,27,18,17,27,14,10,10,8,7,6,5,4,2,11,4,4,6,6,2,3,3,1,3,1,1,6,5,4,5,9,7,2,6,1,5,4,5,2,6,1,2,3,3,4,4,0,6,3,5,2,0,2,2,1,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2020/3/31,平野馬場２丁目,,男,0,319,0,0,2,2,5,1,1,1,3,0,3,1,4,2,3,0,2,0,2,3,2,2,7,2,4,8,6,1,10,2,4,3,3,5,6,5,2,3,2,6,10,8,6,7,6,2,1,6,5,5,5,7,12,6,6,7,2,7,7,1,2,4,3,3,0,6,3,1,3,2,5,10,2,6,9,1,1,4,1,4,2,2,0,2,0,3,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2020/3/31,平野馬場２丁目,,女,0,355,0,2,2,2,3,1,3,1,2,2,5,1,3,3,3,3,3,5,2,3,1,3,3,8,6,3,6,8,4,6,3,4,3,5,7,5,3,5,4,7,4,4,8,4,3,6,3,8,5,6,8,4,8,7,7,3,3,1,2,4,4,5,3,4,4,1,2,2,3,4,3,10,11,8,3,2,3,3,1,5,2,2,3,4,1,6,3,0,3,0,0,3,0,1,1,1,1,1,0,0,0,1,0
2020/3/31,平野馬場２丁目,,計,389,674,0,2,4,4,8,2,4,2,5,2,8,2,7,5,6,3,5,5,4,6,3,5,10,10,10,11,12,9,14,8,7,7,6,10,13,10,5,8,6,13,14,12,14,11,9,8,4,14,10,11,13,11,20,13,13,10,5,8,9,5,6,9,6,7,4,7,5,3,6,6,8,20,13,14,12,3,4,7,2,9,4,4,3,6,1,9,4,2,4,0,0,3,0,1,2,1,1,2,0,0,0,1,0
2020/3/31,平野北１丁目,,男,0,530,0,2,3,6,3,2,3,3,3,5,3,2,4,3,3,3,2,2,1,6,4,9,6,8,8,8,9,3,8,3,4,3,9,1,7,5,6,9,5,9,8,9,10,8,8,9,8,7,11,10,14,7,10,6,5,9,11,6,8,9,8,5,10,7,6,5,5,3,6,8,4,6,13,8,6,8,2,9,8,7,7,4,2,3,6,4,3,3,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0
2020/3/31,平野北１丁目,,女,0,605,0,5,6,2,4,3,6,4,6,4,5,5,3,2,4,4,7,7,6,4,1,7,2,7,5,3,5,7,8,4,6,3,9,4,3,6,7,6,2,10,10,9,8,10,8,8,10,13,17,10,11,11,9,4,9,11,6,7,10,7,6,5,8,7,5,7,4,4,7,6,8,10,12,8,16,8,10,10,7,8,8,5,5,5,4,6,7,6,5,3,3,3,0,2,2,0,2,0,1,1,0,1,0
2020/3/31,平野北１丁目,,計,596,1135,0,7,9,8,7,5,9,7,9,9,8,7,7,5,7,7,9,9,7,10,5,16,8,15,13,11,14,10,16,7,10,6,18,5,10,11,13,15,7,19,18,18,18,18,16,17,18,20,28,20,25,18,19,10,14,20,17,13,18,16,14,10,18,14,11,12,9,7,13,14,12,16,25,16,22,16,12,19,15,15,15,9,7,8,10,10,10,9,5,4,7,5,0,2,2,0,3,0,1,1,0,1,0
2020/3/31,平野北２丁目,,男,0,413,0,2,8,8,3,10,7,5,2,5,3,3,3,3,3,2,3,1,10,4,4,5,5,1,7,2,3,6,7,5,7,6,11,8,6,3,8,2,3,5,3,9,10,12,10,6,8,6,9,6,7,4,4,4,3,2,6,10,3,3,5,5,3,4,4,3,4,4,2,5,1,6,2,12,4,2,3,3,1,1,1,3,3,2,4,4,1,0,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0
