基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,今福西１丁目,,男,0,1058,0,12,8,6,11,6,6,3,3,8,5,7,6,5,9,13,7,7,10,7,13,18,13,20,12,14,8,16,13,5,12,19,14,15,14,14,17,9,9,14,7,12,9,17,19,17,26,19,22,24,28,25,28,26,19,23,19,17,23,11,19,14,16,11,6,10,8,12,10,11,6,15,20,9,7,6,5,6,7,6,5,5,5,5,3,10,3,2,4,2,1,1,3,3,0,2,1,0,0,0,0,0,0
2020/3/31,今福西１丁目,,女,0,1139,0,10,6,5,5,3,8,3,3,6,5,9,10,12,10,7,5,7,10,13,13,13,12,16,17,16,17,14,18,14,20,14,23,12,9,19,14,13,14,13,8,12,9,13,14,13,26,22,17,34,25,23,27,25,20,22,22,10,17,15,14,14,12,20,9,9,14,9,9,18,7,15,20,14,5,8,9,6,6,11,7,5,8,8,6,8,8,4,7,5,8,5,9,4,2,2,1,0,1,0,0,0,0
2020/3/31,今福西１丁目,,計,1136,2197,0,22,14,11,16,9,14,6,6,14,10,16,16,17,19,20,12,14,20,20,26,31,25,36,29,30,25,30,31,19,32,33,37,27,23,33,31,22,23,27,15,24,18,30,33,30,52,41,39,58,53,48,55,51,39,45,41,27,40,26,33,28,28,31,15,19,22,21,19,29,13,30,40,23,12,14,14,12,13,17,12,10,13,13,9,18,11,6,11,7,9,6,12,7,2,4,2,0,1,0,0,0,0
2020/3/31,今福西２丁目,,男,0,1252,0,7,7,7,5,7,13,3,9,20,11,16,16,15,23,17,8,21,11,18,7,15,17,15,12,12,5,14,10,8,12,10,11,8,13,10,15,16,11,10,11,15,15,14,21,28,27,28,28,28,29,33,31,24,16,21,22,16,16,15,7,13,12,6,9,17,10,7,15,19,14,25,16,23,11,14,13,12,11,16,10,5,5,15,9,5,6,6,2,2,3,5,3,1,1,1,0,0,0,0,0,0,0
2020/3/31,今福西２丁目,,女,0,1349,0,9,3,4,5,2,6,2,10,12,10,16,17,16,15,22,11,16,23,17,17,17,13,11,9,6,13,10,13,8,8,13,15,5,16,9,13,14,11,16,14,16,21,24,24,22,28,34,29,25,33,26,26,27,18,21,19,18,15,7,10,15,11,18,13,17,15,15,13,27,14,19,17,29,23,17,12,16,10,14,13,12,7,12,19,4,10,6,9,4,6,6,4,5,3,2,0,1,1,0,0,0,0
2020/3/31,今福西２丁目,,計,1200,2601,0,16,10,11,10,9,19,5,19,32,21,32,33,31,38,39,19,37,34,35,24,32,30,26,21,18,18,24,23,16,20,23,26,13,29,19,28,30,22,26,25,31,36,38,45,50,55,62,57,53,62,59,57,51,34,42,41,34,31,22,17,28,23,24,22,34,25,22,28,46,28,44,33,52,34,31,25,28,21,30,23,17,12,27,28,9,16,12,11,6,9,11,7,6,4,3,0,1,1,0,0,0,0
2020/3/31,今福西３丁目,,男,0,677,0,7,5,4,5,4,6,2,6,7,5,6,9,5,9,3,6,12,9,7,8,8,4,11,11,13,6,9,9,15,15,7,11,9,3,12,7,16,8,7,8,12,12,5,6,9,8,13,10,11,13,15,9,8,8,6,16,5,6,7,5,6,7,6,5,4,10,10,3,4,2,7,7,15,9,6,12,6,10,8,3,4,3,4,6,4,5,3,3,2,0,2,1,0,1,0,0,0,1,0,0,0,0
2020/3/31,今福西３丁目,,女,0,824,0,10,5,4,5,3,3,4,7,4,3,6,3,3,3,7,1,10,5,4,8,10,8,6,14,13,14,26,8,12,10,11,12,15,15,4,13,9,10,9,10,6,8,9,12,8,12,18,10,10,12,18,17,12,4,10,9,9,11,10,17,6,9,8,6,5,10,6,5,4,13,20,13,12,9,6,14,13,8,11,7,12,5,6,7,9,8,7,5,5,1,5,5,3,4,2,0,1,1,2,1,1,0
2020/3/31,今福西３丁目,,計,837,1501,0,17,10,8,10,7,9,6,13,11,8,12,12,8,12,10,7,22,14,11,16,18,12,17,25,26,20,35,17,27,25,18,23,24,18,16,20,25,18,16,18,18,20,14,18,17,20,31,20,21,25,33,26,20,12,16,25,14,17,17,22,12,16,14,11,9,20,16,8,8,15,27,20,27,18,12,26,19,18,19,10,16,8,10,13,13,13,10,8,7,1,7,6,3,5,2,0,1,2,2,1,1,0
2020/3/31,今福西４丁目,,男,0,415,0,2,3,3,3,2,0,2,2,2,2,5,1,5,0,1,5,2,2,2,1,4,4,4,8,4,4,6,5,7,3,9,2,7,6,8,11,6,7,8,11,4,4,5,7,5,12,9,9,3,6,6,4,5,4,5,4,7,7,7,4,7,3,3,6,4,6,3,9,4,4,10,4,7,6,3,7,4,3,5,8,3,2,3,1,3,2,1,2,1,1,0,1,1,0,1,0,1,0,0,0,0,0
2020/3/31,今福西４丁目,,女,0,487,0,4,2,3,3,2,3,1,0,1,1,3,2,2,2,1,2,2,3,4,2,2,5,10,8,8,14,8,6,6,5,7,3,6,10,11,2,6,7,4,8,7,5,6,12,8,8,7,10,10,12,5,7,9,6,3,3,9,12,6,7,8,5,1,4,2,6,4,4,3,8,7,6,8,5,6,5,11,8,5,6,2,2,2,7,6,6,1,4,7,1,2,1,0,0,2,0,0,1,0,0,0,0
2020/3/31,今福西４丁目,,計,553,902,0,6,5,6,6,4,3,3,2,3,3,8,3,7,2,2,7,4,5,6,3,6,9,14,16,12,18,14,11,13,8,16,5,13,16,19,13,12,14,12,19,11,9,11,19,13,20,16,19,13,18,11,11,14,10,8,7,16,19,13,11,15,8,4,10,6,12,7,13,7,12,17,10,15,11,9,12,15,11,10,14,5,4,5,8,9,8,2,6,8,2,2,2,1,0,3,0,1,1,0,0,0,0
2020/3/31,今福西５丁目,,男,0,823,0,3,8,3,6,8,8,8,5,6,3,5,5,11,4,7,5,8,4,4,6,7,13,8,10,13,9,5,6,10,9,10,12,11,10,10,10,11,14,8,8,9,13,13,12,8,19,10,10,20,15,16,14,21,7,10,15,18,14,10,11,6,8,16,5,10,7,15,15,8,11,18,15,11,11,8,2,7,6,7,11,3,4,8,4,7,5,8,4,2,3,0,0,1,1,0,0,0,0,0,0,0,0
