基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,池田町,,男,,2164,,14,13,15,20,14,8,8,14,11,14,17,12,22,16,19,8,12,10,18,13,14,25,19,20,15,21,41,37,32,47,35,29,37,32,40,31,34,39,29,32,37,43,35,29,28,23,35,15,21,25,21,27,17,26,17,26,27,20,27,36,37,52,52,51,42,27,33,39,32,46,33,31,34,29,22,27,20,13,14,24,14,15,9,12,10,3,9,5,2,1,3,,,,,,,1,,,,
2011/3/31,池田町,,女,,2440,,19,14,8,13,8,11,10,8,10,12,9,12,15,16,11,11,13,15,13,7,12,19,19,33,33,23,29,42,40,34,36,31,27,26,23,32,40,29,40,40,34,37,31,33,30,30,27,24,27,22,26,23,30,22,29,27,40,21,42,37,45,52,52,72,48,30,51,37,46,28,48,41,41,37,32,36,30,31,37,22,21,16,23,24,23,10,20,12,11,7,6,2,6,,1,1,1,4,,,1,
2011/3/31,池田町,,計,2484,4604,,33,27,23,33,22,19,18,22,21,26,26,24,37,32,30,19,25,25,31,20,26,44,38,53,48,44,70,79,72,81,71,60,64,58,63,63,74,68,69,72,71,80,66,62,58,53,62,39,48,47,47,50,47,48,46,53,67,41,69,73,82,104,104,123,90,57,84,76,78,74,81,72,75,66,54,63,50,44,51,46,35,31,32,36,33,13,29,17,13,8,9,2,6,,1,1,1,5,,,1,
2011/3/31,浮田１丁目,,男,,298,,7,3,3,2,2,1,4,1,2,,2,4,2,2,3,4,2,1,2,4,2,1,4,4,6,6,5,3,3,5,6,5,7,5,6,7,4,7,7,6,2,9,13,4,3,8,6,2,3,,6,3,4,3,3,3,2,3,3,5,4,5,10,6,3,3,2,1,1,3,1,,3,,1,3,,1,3,2,1,3,4,,,,,,,,1,,2,,,,,,,,,
2011/3/31,浮田１丁目,,女,,326,,3,2,3,3,5,1,4,2,,1,4,2,2,1,1,2,2,4,1,3,5,3,2,4,5,4,4,7,6,6,5,5,3,10,5,5,6,3,3,7,5,11,4,4,5,3,7,5,2,3,5,5,2,3,6,4,4,3,4,6,5,1,2,5,5,2,5,5,1,2,3,4,3,1,3,1,5,3,1,5,3,1,6,2,2,2,3,,2,,3,,,3,,1,1,,,,,
2011/3/31,浮田１丁目,,計,335,624,,10,5,6,5,7,2,8,3,2,1,6,6,4,3,4,6,4,5,3,7,7,4,6,8,11,10,9,10,9,11,11,10,10,15,11,12,10,10,10,13,7,20,17,8,8,11,13,7,5,3,11,8,6,6,9,7,6,6,7,11,9,6,12,11,8,5,7,6,2,5,4,4,6,1,4,4,5,4,4,7,4,4,10,2,2,2,3,,2,,4,,2,3,,1,1,,,,,
2011/3/31,浮田２丁目,@1,男,,282,285,3,0,3,0,4,1,0,0,1,1,1,1,1,2,1,0,0,2,3,3,2,4,4,4,6,8,8,5,7,10,7,8,6,9,10,9,3,6,4,5,4,4,6,3,5,5,5,4,2,2,2,3,3,3,2,2,3,3,2,2,2,3,3,4,3,2,3,2,2,1,1,3,2,3,4,5,2,4,1,5,0,1,4,2,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2011/3/31,浮田２丁目,@1,女,,272,275,0,2,1,2,2,4,0,2,0,1,2,1,1,0,0,2,0,3,1,1,2,2,9,9,12,4,10,6,11,5,7,6,9,10,3,10,6,2,7,7,4,8,6,2,1,2,2,3,2,2,1,3,2,3,1,0,1,2,0,1,2,0,5,4,2,1,4,6,2,3,1,2,2,1,8,7,1,0,2,2,1,1,1,2,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2011/3/31,浮田２丁目,@1,計,378,554,560,3,2,4,2,6,5,0,2,1,2,3,2,2,2,1,2,0,5,4,4,4,6,13,13,18,12,18,11,18,15,14,14,15,19,13,19,9,8,11,12,8,12,12,5,6,7,7,7,4,4,3,6,5,6,3,2,4,5,2,3,4,3,8,8,5,3,7,8,4,4,2,5,4,4,12,12,3,4,3,7,1,2,5,4,4,1,1,2,0,2,0,0,0,1,1,0,1,0,0,0,0,0
2011/3/31,梅田１丁目,*1,男,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
