基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,片町１丁目,,男,,507,,2,3,6,3,4,3,1,1,2,2,,1,2,2,,4,1,3,2,5,6,5,5,9,16,9,21,9,16,7,7,15,12,15,16,13,13,14,16,12,12,8,12,8,3,10,8,11,7,2,5,5,7,10,9,4,6,5,8,5,10,8,9,6,2,4,4,5,2,6,3,1,2,1,2,,2,1,5,1,2,,,1,,1,,1,,,,,,,,,,,,,,
2011/3/31,片町１丁目,,女,,508,,3,5,5,3,1,2,6,4,1,,2,1,,4,1,,4,1,2,6,9,13,5,12,11,6,16,10,15,14,12,8,13,18,14,11,11,18,11,9,16,8,9,9,7,7,2,7,5,6,6,7,8,5,2,7,4,1,7,6,13,11,3,4,5,1,2,1,7,5,2,2,1,3,2,5,2,1,1,1,7,2,1,1,2,,2,1,1,1,,,,2,,,,,,,,
2011/3/31,片町１丁目,,計,685,1015,,5,8,11,6,5,5,7,5,3,2,2,2,2,6,1,4,5,4,4,11,15,18,10,21,27,15,37,19,31,21,19,23,25,33,30,24,24,32,27,21,28,16,21,17,10,17,10,18,12,8,11,12,15,15,11,11,10,6,15,11,23,19,12,10,7,5,6,6,9,11,5,3,3,4,4,5,4,2,6,2,9,2,1,2,2,1,2,2,1,1,,,,2,,,,,,,,
2011/3/31,片町２丁目,,男,,287,,,,,,2,,2,,,1,1,1,1,1,1,1,1,,,1,3,1,6,10,8,13,9,13,3,2,8,7,5,2,4,3,7,6,3,6,9,2,1,2,1,3,3,2,5,4,6,5,3,2,2,4,4,2,11,2,2,5,4,4,4,7,5,2,2,7,4,3,2,2,3,6,1,,,4,2,1,4,2,1,1,1,2,,,,1,,,,,,,,,,
2011/3/31,片町２丁目,,女,,259,,2,1,,,,,1,,,,,,,1,1,1,,1,,5,,2,2,7,9,6,10,5,12,7,9,6,5,2,6,3,4,7,2,2,8,6,,4,1,2,4,3,1,2,6,3,2,3,5,2,2,,3,2,8,3,3,4,1,,5,7,2,2,,2,5,3,3,2,5,1,1,3,1,2,,4,1,3,2,3,,1,3,,1,,,,,,,,,
2011/3/31,片町２丁目,,計,413,546,,2,1,,,2,,3,,,1,1,1,1,2,2,2,1,1,,6,3,3,8,17,17,19,19,18,15,9,17,13,10,4,10,6,11,13,5,8,17,8,1,6,2,5,7,5,6,6,12,8,5,5,7,6,6,2,14,4,10,8,7,8,5,7,10,9,4,9,4,5,7,5,6,8,6,1,1,7,3,3,4,6,2,4,3,5,,1,3,1,1,,,,,,,,,
2011/3/31,網島町,,男,,546,,7,5,1,4,5,4,3,3,1,5,1,3,4,2,2,2,4,4,4,4,8,7,5,7,4,8,8,8,9,16,10,13,8,17,12,10,12,18,10,10,8,7,6,10,8,8,11,6,5,3,11,6,6,5,7,6,12,6,8,14,9,11,13,9,7,1,4,5,7,3,3,7,4,3,7,3,1,5,4,3,4,1,1,,1,3,,,2,3,1,,,,,,,,,,,
2011/3/31,網島町,,女,,650,,11,7,5,5,4,3,3,4,3,2,3,4,2,5,6,4,3,1,4,2,4,6,9,3,9,4,8,13,15,13,16,19,12,13,12,16,10,12,15,11,7,7,8,9,8,6,6,9,6,5,13,5,5,7,2,10,7,18,9,10,10,17,17,11,10,3,2,4,11,10,6,6,5,4,2,4,11,6,6,6,4,6,3,4,3,5,3,4,4,2,1,1,,,,,,1,,,,
2011/3/31,網島町,,計,688,1196,,18,12,6,9,9,7,6,7,4,7,4,7,6,7,8,6,7,5,8,6,12,13,14,10,13,12,16,21,24,29,26,32,20,30,24,26,22,30,25,21,15,14,14,19,16,14,17,15,11,8,24,11,11,12,9,16,19,24,17,24,19,28,30,20,17,4,6,9,18,13,9,13,9,7,9,7,12,11,10,9,8,7,4,4,4,8,3,4,6,5,2,1,,,,,,1,,,,
2011/3/31,東野田町１丁目,,男,,637,,7,1,8,3,3,2,2,5,3,3,3,4,4,2,4,4,2,1,3,6,9,7,8,7,6,12,10,25,14,20,14,15,15,9,20,18,24,17,17,10,19,15,9,16,10,9,13,8,12,9,8,6,2,8,7,10,6,8,6,9,7,7,4,6,8,5,5,5,3,8,1,1,1,3,6,2,2,2,3,1,2,2,2,1,2,2,1,3,3,,1,1,,,,,,,,,,
2011/3/31,東野田町１丁目,,女,,629,,1,6,3,7,5,4,7,1,5,3,4,,4,4,4,5,4,1,5,4,5,5,7,8,9,11,11,14,18,16,11,18,17,11,22,13,21,17,21,10,12,11,18,15,10,8,15,8,10,11,8,4,9,10,5,4,7,1,3,7,6,6,5,6,4,3,4,6,6,5,5,2,,7,5,3,1,1,5,3,3,2,2,1,5,,5,2,1,2,2,1,,1,,1,,,,,,
2011/3/31,東野田町１丁目,,計,816,1266,,8,7,11,10,8,6,9,6,8,6,7,4,8,6,8,9,6,2,8,10,14,12,15,15,15,23,21,39,32,36,25,33,32,20,42,31,45,34,38,20,31,26,27,31,20,17,28,16,22,20,16,10,11,18,12,14,13,9,9,16,13,13,9,12,12,8,9,11,9,13,6,3,1,10,11,5,3,3,8,4,5,4,4,2,7,2,6,5,4,2,3,2,,1,,1,,,,,,
2011/3/31,東野田町２丁目,,男,,123,,3,2,1,,1,,,,,,,,,1,,1,1,,,,2,1,,3,7,7,6,6,5,2,5,4,2,1,4,3,4,3,4,,2,1,2,,3,1,1,,,,3,1,2,,,2,,,,,1,2,,3,1,,,1,3,2,1,3,1,,,4,2,,,1,1,,,,,,,,,,,,,,,,,,,,,
2011/3/31,東野田町２丁目,,女,,108,,,,1,1,1,,1,,,,,,,1,,,,,,,,1,2,3,4,4,3,7,7,2,3,5,4,2,1,1,3,2,2,2,,3,,1,3,3,,,,1,,1,3,1,,,,,,,,1,3,3,,1,,,,2,3,1,2,,,,3,,2,,,2,1,1,,1,,,,,1,,1,,,1,,,,,,
