基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,安治川１丁目,,男,,93,,2,1,,1,,,,,,1,,,,,2,1,,2,,1,2,1,,1,1,4,1,3,2,2,1,2,1,1,1,,1,2,1,1,1,2,,1,2,,1,,,,,3,2,1,,1,1,,3,1,6,2,1,3,3,1,3,1,3,1,3,3,1,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
2011/3/31,安治川１丁目,,女,,102,,,,2,1,,1,,1,,,,,1,,1,2,,1,1,2,1,2,,2,1,2,1,1,2,3,,3,2,1,,2,3,3,,5,,,3,,1,2,1,1,1,,,,,1,1,,,2,2,1,1,2,4,5,1,2,4,1,4,,,1,,,1,,,,2,1,,2,,1,1,,,1,3,1,,,1,,,,,,,,,
2011/3/31,安治川１丁目,,計,102,195,,2,1,2,2,,1,,1,,1,,,1,,3,3,,3,1,3,3,3,,3,2,6,2,4,4,5,1,5,3,2,1,2,4,5,1,6,1,2,3,1,3,2,2,1,1,,,3,2,2,1,1,1,2,5,2,7,4,5,8,4,3,7,2,7,1,3,4,1,2,1,,,1,2,1,1,2,,1,1,,,1,3,1,,,1,,,,,,,,,
2011/3/31,安治川２丁目,,男,,64,,,,1,,1,,,,1,,,,1,,,1,1,1,1,1,,1,,,1,2,3,1,2,3,3,,4,,,1,,,,,2,1,,2,1,,,,,,1,,1,,1,3,,2,,,1,2,2,,1,,,1,,,,3,1,1,1,1,,,,2,,1,,,1,,,,,1,,,1,,,,,,,,,
2011/3/31,安治川２丁目,,女,,65,,,,1,,,,,1,,,2,,,2,,,,,,2,,3,1,,2,,1,1,1,1,1,1,,1,,,3,1,,,3,,1,1,,,,1,,2,1,,1,,2,,,2,2,,,1,1,,,1,1,2,2,,2,,3,,1,,1,,1,,1,,,2,,,,1,1,,,,,,1,2,,,,,,
2011/3/31,安治川２丁目,,計,60,129,,,,2,,1,,,1,1,,2,,1,2,,1,1,1,1,3,,4,1,,3,2,4,2,3,4,4,1,4,1,,1,3,1,,,5,1,1,3,1,,,1,,2,2,,2,,3,3,,4,2,,1,3,3,,1,1,1,3,2,,2,3,4,1,2,1,1,,1,2,1,1,,2,1,,,1,1,1,,,1,,1,2,,,,,,
2011/3/31,阿波座１丁目,,男,,138,,1,,,1,,2,,,,,,1,,1,,,1,,,,,1,1,10,1,5,6,7,8,2,6,3,3,4,2,6,8,1,2,1,1,1,3,1,1,1,1,,2,1,3,1,2,,,1,,2,3,1,3,2,3,4,1,2,,,1,1,3,1,1,,,,,1,1,1,,2,,,1,1,,,,,,,,,,,,,,,,
2011/3/31,阿波座１丁目,,女,,142,,1,1,1,1,,,,2,,2,,,,,,,,1,,,1,1,2,5,4,6,4,9,4,3,6,5,5,3,3,5,6,1,2,1,1,1,1,2,1,,,2,,1,3,2,1,3,,2,,2,3,1,3,4,2,,1,,,1,,1,2,,,1,1,1,,1,1,,2,2,2,1,1,1,,2,,1,,,,,,,,,,,,
2011/3/31,阿波座１丁目,,計,195,280,,2,1,1,2,,2,,2,,2,,1,,1,,,1,1,,,1,2,3,15,5,11,10,16,12,5,12,8,8,7,5,11,14,2,4,2,2,2,4,3,2,1,1,2,2,2,6,3,3,3,,3,,4,6,2,6,6,5,4,2,2,,1,1,2,5,1,1,1,1,1,,2,2,1,2,4,2,1,2,2,,2,,1,,,,,,,,,,,,
2011/3/31,阿波座２丁目,,男,,114,,,,1,,,,1,,,2,1,,,1,1,,,,,,1,3,1,2,3,2,6,2,4,1,6,4,6,5,3,4,3,2,1,5,,1,2,1,3,2,,1,,,1,1,2,1,2,,1,1,2,4,1,3,,1,2,1,,,1,2,1,,1,,1,,,2,,1,,,,,1,,,,,,,,,,,,,,,,,
2011/3/31,阿波座２丁目,,女,,68,,,1,,,1,,,1,1,,,,1,,,,,,,,1,,1,4,3,3,2,1,2,2,5,5,1,1,3,2,1,1,1,2,1,1,1,1,,,,,2,2,,1,,1,,1,,,3,,,1,,,,1,,,,,,1,,,,1,,,1,1,,1,,,,,,,1,,,,,,,,,,,,,
2011/3/31,阿波座２丁目,,計,148,182,,,1,1,,1,,1,1,1,2,1,,1,1,1,,,,,,2,3,2,6,6,5,8,3,6,3,11,9,7,6,6,6,4,3,2,7,1,2,3,2,3,2,,1,2,2,1,2,2,2,2,1,1,1,5,4,1,4,,1,2,2,,,1,2,1,1,1,,1,1,,2,1,2,,1,,,1,,,,1,,,,,,,,,,,,,
