基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,安立１丁目,,男,0,634,0,2,2,0,5,3,6,4,2,2,0,0,2,1,4,2,8,4,6,3,4,8,5,15,6,8,9,8,9,9,7,9,9,2,9,11,7,4,4,2,3,5,9,6,6,5,10,10,4,11,9,8,16,5,13,11,5,11,9,12,6,6,9,8,2,14,11,11,16,8,10,18,19,14,10,2,7,10,9,13,4,4,4,7,7,6,6,4,8,2,2,2,2,3,0,1,0,0,0,0,0,0,0
2020/3/31,安立１丁目,,女,0,630,0,1,1,5,0,0,0,0,1,5,2,2,3,2,1,1,3,6,5,6,5,4,11,6,9,6,9,7,11,2,6,7,5,5,11,6,2,9,5,4,5,5,5,6,5,4,5,11,11,10,9,11,10,6,7,7,15,10,8,9,8,6,11,6,10,8,4,8,10,12,9,7,13,16,7,4,8,12,6,8,13,11,14,9,13,6,9,9,8,5,6,5,2,7,1,3,0,3,0,0,0,0,0
2020/3/31,安立１丁目,,計,738,1264,0,3,3,5,5,3,6,4,3,7,2,2,5,3,5,3,11,10,11,9,9,12,16,21,15,14,18,15,20,11,13,16,14,7,20,17,9,13,9,6,8,10,14,12,11,9,15,21,15,21,18,19,26,11,20,18,20,21,17,21,14,12,20,14,12,22,15,19,26,20,19,25,32,30,17,6,15,22,15,21,17,15,18,16,20,12,15,13,16,7,8,7,4,10,1,4,0,3,0,0,0,0,0
2020/3/31,安立２丁目,,男,0,561,0,1,1,2,5,3,6,7,7,1,5,7,3,3,1,5,4,3,4,8,4,5,5,6,7,6,7,3,8,8,8,5,6,10,6,13,9,8,8,6,6,6,12,12,6,9,11,12,8,15,7,12,7,13,5,7,11,6,6,9,9,4,8,4,4,8,9,6,9,9,9,11,7,10,5,2,5,7,2,4,3,1,7,1,5,5,2,2,1,0,0,3,0,4,0,0,0,1,0,0,0,0,0
2020/3/31,安立２丁目,,女,0,545,0,0,4,2,1,3,4,3,11,5,4,8,4,3,7,2,5,6,6,3,2,5,2,6,6,10,9,6,4,5,5,6,5,9,3,4,5,11,4,6,6,5,8,9,8,5,12,9,2,4,14,12,5,12,4,8,6,8,5,6,7,9,4,3,14,8,2,10,4,7,10,6,14,6,3,5,7,5,5,8,7,6,4,3,7,8,5,4,3,3,5,5,2,0,2,2,0,0,0,0,0,0,0
2020/3/31,安立２丁目,,計,650,1106,0,1,5,4,6,6,10,10,18,6,9,15,7,6,8,7,9,9,10,11,6,10,7,12,13,16,16,9,12,13,13,11,11,19,9,17,14,19,12,12,12,11,20,21,14,14,23,21,10,19,21,24,12,25,9,15,17,14,11,15,16,13,12,7,18,16,11,16,13,16,19,17,21,16,8,7,12,12,7,12,10,7,11,4,12,13,7,6,4,3,5,8,2,4,2,2,0,1,0,0,0,0,0
2020/3/31,安立３丁目,,男,0,357,0,2,4,4,1,1,1,1,1,0,3,1,2,3,4,2,2,1,3,5,5,5,2,5,2,6,4,5,5,3,5,5,4,2,3,7,2,5,5,4,8,4,8,10,3,2,7,8,10,8,7,1,11,9,2,2,4,4,5,2,3,3,7,6,5,7,1,5,5,3,5,5,5,3,5,3,5,3,4,5,3,3,4,4,3,1,1,2,3,0,0,2,2,0,1,0,0,0,0,0,0,0,0
2020/3/31,安立３丁目,,女,0,373,0,2,1,4,1,2,2,3,1,3,4,3,5,4,2,3,4,3,3,3,3,4,3,6,4,5,7,3,2,4,4,5,5,2,4,2,5,4,2,0,5,2,4,7,4,6,8,7,9,4,3,5,3,11,9,2,5,11,3,5,2,7,5,2,2,2,2,6,4,2,2,5,7,8,3,4,3,7,7,4,7,2,2,2,6,3,2,6,9,2,2,1,0,1,1,1,1,0,1,0,0,0,0
2020/3/31,安立３丁目,,計,400,730,0,4,5,8,2,3,3,4,2,3,7,4,7,7,6,5,6,4,6,8,8,9,5,11,6,11,11,8,7,7,9,10,9,4,7,9,7,9,7,4,13,6,12,17,7,8,15,15,19,12,10,6,14,20,11,4,9,15,8,7,5,10,12,8,7,9,3,11,9,5,7,10,12,11,8,7,8,10,11,9,10,5,6,6,9,4,3,8,12,2,2,3,2,1,2,1,1,0,1,0,0,0,0
2020/3/31,安立４丁目,,男,0,587,0,7,6,5,5,6,3,5,5,1,7,4,1,4,0,3,3,4,5,5,4,6,6,5,7,10,10,5,9,5,12,5,13,10,12,12,5,10,6,8,4,8,10,15,11,3,14,12,9,10,7,9,14,11,10,4,6,5,2,7,6,3,9,8,5,5,7,7,5,6,3,12,13,16,6,3,1,5,6,4,6,3,6,5,7,4,2,3,3,4,1,0,1,0,1,1,0,0,0,0,0,0,0
2020/3/31,安立４丁目,,女,0,633,0,8,4,8,5,7,4,5,2,2,5,2,2,6,0,7,2,3,2,4,7,3,6,6,12,9,9,6,7,9,12,5,9,12,10,5,7,7,16,10,5,11,0,3,13,6,10,4,6,9,8,9,4,4,9,6,10,9,9,4,10,9,7,4,10,8,7,5,10,7,11,10,11,8,10,6,11,5,6,10,7,4,12,7,8,8,1,2,6,6,1,6,4,3,2,2,1,1,2,1,0,0,0
