基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,西中島１丁目,,男,,575,,2,1,2,4,6,6,1,,1,,2,1,1,3,2,1,,2,,,4,2,6,5,15,15,24,17,13,20,17,13,16,17,9,8,12,10,17,8,9,11,13,11,9,12,12,6,6,8,9,6,5,5,7,9,10,10,9,5,8,11,14,3,2,5,6,4,8,3,5,2,,3,4,5,6,8,2,1,2,1,2,2,1,,,2,2,,4,2,1,,,,,,,,1,
2011/3/31,西中島１丁目,,女,,452,,3,,3,3,1,2,3,2,1,1,2,4,2,1,3,2,3,2,1,1,8,3,5,8,7,10,7,8,18,5,8,7,8,9,9,8,2,13,7,8,5,5,8,8,5,5,2,5,4,5,9,4,8,5,3,2,3,5,6,7,3,9,10,4,2,5,8,5,4,7,3,8,2,6,7,6,1,6,4,4,7,4,4,4,5,,6,3,1,3,,1,1,2,,2,1,,,1,1,
2011/3/31,西中島１丁目,,計,688,1027,,5,1,5,7,7,8,4,2,2,1,4,5,3,4,5,3,3,4,1,1,12,5,11,13,22,25,31,25,31,25,25,20,24,26,18,16,14,23,24,16,14,16,21,19,14,17,14,11,10,13,18,10,13,10,10,11,13,15,15,12,11,20,24,7,4,10,14,9,12,10,8,10,2,9,11,11,7,14,6,5,9,5,6,6,6,,6,5,3,3,4,3,2,2,,2,1,,,1,2,
2011/3/31,西中島２丁目,,男,,952,,5,3,4,7,2,2,3,5,3,4,7,3,6,3,1,5,5,8,6,6,5,2,13,21,25,32,37,41,28,24,29,27,23,19,19,18,31,19,29,17,21,16,22,15,12,15,7,13,10,12,10,5,10,10,11,10,9,18,5,14,10,7,16,11,8,8,6,12,2,9,7,7,2,7,5,3,3,4,3,2,7,3,3,3,1,1,2,3,3,,,1,,,,,1,,,,,
2011/3/31,西中島２丁目,,女,,821,,3,4,4,2,4,5,5,4,4,8,6,4,4,7,5,3,3,5,3,7,10,12,18,19,36,31,23,22,24,22,15,17,16,16,14,16,17,17,18,12,12,15,13,8,7,6,8,5,7,4,6,6,12,6,9,8,5,7,6,4,8,14,11,15,13,4,9,7,8,10,4,7,5,5,6,4,7,6,8,5,9,4,2,3,4,5,3,,7,1,1,1,,1,1,1,,2,,,1,
2011/3/31,西中島２丁目,,計,1195,1773,,8,7,8,9,6,7,8,9,7,12,13,7,10,10,6,8,8,13,9,13,15,14,31,40,61,63,60,63,52,46,44,44,39,35,33,34,48,36,47,29,33,31,35,23,19,21,15,18,17,16,16,11,22,16,20,18,14,25,11,18,18,21,27,26,21,12,15,19,10,19,11,14,7,12,11,7,10,10,11,7,16,7,5,6,5,6,5,3,10,1,1,2,,1,1,1,1,2,,,1,
2011/3/31,西中島３丁目,,男,,228,,1,2,1,,1,,,,1,,,1,2,,,,1,,4,1,3,2,1,2,4,5,5,8,11,5,6,7,5,5,4,4,3,3,3,9,4,2,5,1,6,5,6,1,3,1,5,2,1,1,2,3,2,1,5,2,3,4,5,4,2,1,2,1,1,2,3,3,2,4,4,1,2,1,2,2,3,2,1,,,2,1,,,1,,1,,,,,,,,,,
2011/3/31,西中島３丁目,,女,,253,,3,,2,3,,1,,1,2,1,2,1,1,2,,4,1,2,1,1,2,3,2,6,6,3,1,4,5,10,6,3,4,9,5,8,4,6,2,3,4,4,1,1,1,2,2,4,3,1,2,,3,4,2,5,2,2,5,3,1,3,5,2,2,4,3,3,3,4,5,1,3,4,3,1,3,3,3,2,1,4,4,4,2,2,1,1,1,,,1,,2,,1,,,,,,
2011/3/31,西中島３丁目,,計,330,481,,4,2,3,3,1,1,,1,3,1,2,2,3,2,,4,2,2,5,2,5,5,3,8,10,8,6,12,16,15,12,10,9,14,9,12,7,9,5,12,8,6,6,2,7,7,8,5,6,2,7,2,4,5,4,8,4,3,10,5,4,7,10,6,4,5,5,4,4,6,8,4,5,8,7,2,5,4,5,4,4,6,5,4,2,4,2,1,1,1,,2,,2,,1,,,,,,
2011/3/31,西中島４丁目,,男,,463,,3,2,5,1,3,1,2,1,1,1,1,1,2,3,4,3,1,1,1,3,5,6,6,13,20,7,16,8,18,8,10,7,10,4,6,7,8,5,9,12,14,9,14,4,10,7,8,6,5,9,5,5,10,8,4,9,5,11,7,4,6,5,5,7,8,3,2,4,,4,5,2,2,2,3,4,2,2,4,2,2,5,1,,2,,2,,,,,,,,,,,,,,,
2011/3/31,西中島４丁目,,女,,405,,6,1,2,2,2,1,1,1,,2,1,3,1,,2,,5,,1,4,4,6,6,7,11,4,8,8,9,6,12,3,8,11,5,5,12,6,6,8,5,5,7,6,8,3,10,5,9,5,3,5,2,4,6,3,5,3,5,2,5,4,5,7,3,8,4,6,4,3,5,3,3,2,5,6,6,5,5,9,2,4,4,3,,2,1,3,2,2,1,,,,,2,,,,,,
2011/3/31,西中島４丁目,,計,640,868,,9,3,7,3,5,2,3,2,1,3,2,4,3,3,6,3,6,1,2,7,9,12,12,20,31,11,24,16,27,14,22,10,18,15,11,12,20,11,15,20,19,14,21,10,18,10,18,11,14,14,8,10,12,12,10,12,10,14,12,6,11,9,10,14,11,11,6,10,4,7,10,5,5,4,8,10,8,7,9,11,4,9,5,3,2,2,3,3,2,2,1,,,,,2,,,,,,
2011/3/31,西中島５丁目,,男,,263,,2,2,,1,,1,,1,2,,1,,2,,,,,,,1,1,1,,2,4,10,8,10,8,6,9,7,5,8,7,3,8,6,4,5,8,12,7,5,5,4,4,2,4,4,6,3,2,5,2,,3,6,4,3,8,3,2,3,4,5,3,2,1,2,2,2,2,1,1,,,2,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,
2011/3/31,西中島５丁目,,女,,223,,5,2,2,1,2,1,,,1,,1,,1,,,1,,,,,1,2,5,3,4,4,11,6,2,4,6,7,7,6,6,9,2,4,3,3,3,3,3,1,2,8,4,2,1,2,3,7,,5,1,,3,3,4,2,3,4,8,4,2,1,,2,1,,2,1,1,3,1,1,3,1,4,2,1,1,,1,1,,3,,2,,,1,,,,,,,,,,
2011/3/31,西中島５丁目,,計,358,486,,7,4,2,2,2,2,,1,3,,2,,3,,,1,,,,1,2,3,5,5,8,14,19,16,10,10,15,14,12,14,13,12,10,10,7,8,11,15,10,6,7,12,8,4,5,6,9,10,2,10,3,,6,9,8,5,11,7,10,7,6,6,3,4,2,2,4,3,3,4,2,1,3,3,5,3,2,2,1,1,1,,3,1,2,,,1,,,,,,,,,,
2011/3/31,西中島６丁目,,男,,463,,1,4,1,,1,5,1,2,1,1,2,,,1,1,1,1,2,1,4,2,,3,6,6,16,12,19,11,23,14,12,10,8,9,13,5,13,15,10,11,13,10,6,7,15,4,9,5,4,5,5,3,6,8,7,2,4,6,7,6,9,6,9,7,2,5,5,5,3,5,1,,3,3,3,2,2,2,1,2,,,,1,1,3,1,,1,,,,1,,,,,,,,
2011/3/31,西中島６丁目,,女,,415,,2,2,2,2,1,2,2,4,2,2,7,2,4,3,2,2,1,1,2,4,4,4,6,15,6,16,13,12,11,5,8,5,11,7,6,4,14,7,8,10,5,3,3,4,3,7,10,7,8,4,5,2,3,1,5,2,2,3,4,3,7,1,7,4,7,3,4,4,4,1,11,4,1,3,3,4,2,2,3,1,3,2,7,2,,1,4,2,1,4,4,,1,,1,1,,,1,,,
