X,Y,施設名,施設名かな,所在地,地区名,TEL,FAX,詳細情報,URL,小分類,施設ID,コード
135.506758,34.703231,大阪市立天満中学校,おおさかしりつてんまちゅうがっこう,北区神山町12-9,北区,06-6313-3717,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j512000,中学校,304,25101
135.5207441,34.69863583,大阪市立北稜中学校,おおさかしりつほくりょうちゅうがっこう,北区天満橋1-1-58,北区,06-6351-4259,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j512001,中学校,300,25102
135.4865331,34.70368592,大阪市立大淀中学校,おおさかしりつおおよどちゅうがっこう,北区大淀中2-1-11,北区,06-6458-6991,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j512004,中学校,301,25103
135.5089328,34.71614994,大阪市立豊崎中学校,おおさかしりつとよさきちゅうがっこう,北区本庄東3-4-8,北区,06-6371-7452,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j512005,中学校,302,25104
135.5174468,34.71343592,大阪市立新豊崎中学校,おおさかしりつしんとよさきちゅうがっこう,北区長柄東2-2-30,北区,06-6353-6632,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j512006,中学校,303,25105
135.5326059,34.71268308,大阪市立高倉中学校,おおさかしりつたかくらちゅうがっこう,都島区御幸町1-1-10,都島区,06-6921-3333,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j522030,中学校,2954,25201
135.5365998,34.70207483,大阪市立桜宮中学校,おおさかしりつさくらのみやちゅうがっこう,都島区東野田町5-16-10,都島区,06-6921-6934,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j522031,中学校,3014,25202
135.5257722,34.70257186,大阪市立都島中学校,おおさかしりつみやこじまちゅうがっこう,都島区中野町3-9-33,都島区,06-6352-6241,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j522032,中学校,2980,25203
135.519272,34.72212783,大阪市立淀川中学校,おおさかしりつよどがわちゅうがっこう,都島区毛馬町3-5-12,都島区,06-6928-0001,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j522033,中学校,3038,25204
135.526353,34.71593619,大阪市立友渕中学校,おおさかしりつともぶちちゅうがっこう,都島区友渕町1-5-151,都島区,06-6928-1970,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j522034,中学校,3052,25205
135.4777718,34.70087806,大阪市立八阪中学校,おおさかしりつやさかちゅうがっこう,福島区鷺洲6-1-13,福島区,06-6458-8531,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j532060,中学校,46,25301
135.4819389,34.68848892,大阪市立下福島中学校,おおさかしりつしもふくしまちゅうがっこう,福島区玉川1-4-11,福島区,06-6441-6004,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j532061,中学校,3538,25302
135.4685753,34.68723283,大阪市立野田中学校,おおさかしりつのだちゅうがっこう,福島区吉野5-9-4,福島区,06-6462-3291,,,http://swa.city-osaka.ed.jp/swas/index.php?id=j532062,中学校,3537,25303
