区名,男女別,世帯数,総数,０～４歳,５～９歳,１０～１４歳,１５～１９歳,２０～２４歳,２５～２９歳,３０～３４歳,３５～３９歳,４０～４４歳,４５～４９歳,５０～５４歳,５５～５９歳,６０～６４歳,６５～６９歳,７０～７４歳,７５～７９歳,８０～８４歳,８５～８９歳,９０～９４歳,９５～９９歳,１００歳以上
北区,男,0,63573,2882,2198,1693,1780,3445,5892,6193,6286,5937,5813,4703,3719,2940,2785,2888,2029,1325,768,252,43,2
北区,女,0,67669,2728,2108,1663,1783,3838,5940,6346,6171,5692,5732,4728,3758,2998,3098,3550,2650,2253,1553,810,233,37
北区,計,81224,131242,5610,4306,3356,3563,7283,11832,12539,12457,11629,11545,9431,7477,5938,5883,6438,4679,3578,2321,1062,276,39
都島区,男,0,50579,2022,2202,2084,2130,2787,3394,3579,3747,3880,4242,3557,3046,2779,3201,3217,2146,1406,821,281,55,3
都島区,女,0,54816,1929,1990,2003,1905,3096,3627,3671,3800,3945,4322,3658,3286,3076,3220,3363,2814,2251,1770,813,235,42
都島区,計,57196,105395,3951,4192,4087,4035,5883,7021,7250,7547,7825,8564,7215,6332,5855,6421,6580,4960,3657,2591,1094,290,45
福島区,男,0,36875,1922,1642,1425,1303,1868,3166,3280,3323,3268,3324,2530,2063,1598,1593,1727,1285,826,513,183,35,1
福島区,女,0,40716,1889,1561,1368,1329,2176,3415,3626,3517,3401,3353,2525,2156,1612,1803,2137,1695,1390,1074,501,165,23
福島区,計,42607,77591,3811,3203,2793,2632,4044,6581,6906,6840,6669,6677,5055,4219,3210,3396,3864,2980,2216,1587,684,200,24
此花区,男,0,32409,1201,1362,1359,1416,1923,1922,1799,1963,2346,2867,2519,2154,1818,2107,2140,1584,1169,549,173,34,4
此花区,女,0,33718,1243,1284,1199,1367,1785,1726,1676,2007,2262,2675,2321,2103,1723,2043,2354,2142,1842,1224,567,157,18
此花区,計,34752,66127,2444,2646,2558,2783,3708,3648,3475,3970,4608,5542,4840,4257,3541,4150,4494,3726,3011,1773,740,191,22
中央区,男,0,48370,2154,1703,1346,1333,2948,5131,5075,4926,4453,4257,3487,2641,2093,2023,1901,1314,844,502,193,41,5
中央区,女,0,55220,2009,1710,1318,1306,3506,5907,5857,5362,5035,4789,3797,2853,2337,2109,2206,1816,1451,1051,611,152,38
中央区,計,66883,103590,4163,3413,2664,2639,6454,11038,10932,10288,9488,9046,7284,5494,4430,4132,4107,3130,2295,1553,804,193,43
西区,男,0,48009,2515,2179,1658,1542,3061,4641,4646,4901,4602,4242,3146,2352,1862,1906,1992,1271,864,428,160,37,4
西区,女,0,54091,2480,2051,1587,1498,3556,5420,5378,5512,4982,4439,3367,2541,2060,2169,2304,1745,1368,964,491,156,23
西区,計,61054,102100,4995,4230,3245,3040,6617,10061,10024,10413,9584,8681,6513,4893,3922,4075,4296,3016,2232,1392,651,193,27
港区,男,0,39793,1421,1399,1547,1697,2433,2715,2476,2591,2729,3362,2957,2570,2156,2541,2560,2166,1424,763,230,53,3
港区,女,0,41308,1281,1361,1557,1611,2495,2633,2429,2402,2609,3227,2836,2483,2092,2268,2873,2605,2134,1546,653,177,36
港区,計,44441,81101,2702,2760,3104,3308,4928,5348,4905,4993,5338,6589,5793,5053,4248,4809,5433,4771,3558,2309,883,230,39
大正区,男,0,31972,968,1163,1248,1497,1758,1648,1816,1703,2050,2733,2406,2119,1862,2363,2559,1943,1260,640,199,34,3
大正区,女,0,32778,994,1057,1263,1346,1601,1523,1470,1713,2000,2477,2226,1985,1802,2282,2642,2446,1906,1216,585,226,18
大正区,計,33924,64750,1962,2220,2511,2843,3359,3171,3286,3416,4050,5210,4632,4104,3664,4645,5201,4389,3166,1856,784,260,21
天王寺区,男,0,36402,1984,2008,1757,1655,1978,2377,2606,2874,3032,2975,2747,2278,1828,1790,1760,1141,838,527,198,42,7
天王寺区,女,0,42214,1851,1867,1695,1565,2281,2836,2981,3278,3427,3464,3080,2685,2064,1996,2098,1716,1428,1106,593,175,28
天王寺区,計,40713,78616,3835,3875,3452,3220,4259,5213,5587,6152,6459,6439,5827,4963,3892,3786,3858,2857,2266,1633,791,217,35
浪速区,男,0,35369,1210,876,655,837,2911,4498,4117,3560,2682,2627,2158,1708,1456,1744,1802,1236,772,388,108,22,2
浪速区,女,0,34335,1110,782,597,936,3613,4915,3899,2914,2256,2158,1740,1515,1348,1392,1554,1343,1078,717,332,121,15
浪速区,計,50069,69704,2320,1658,1252,1773,6524,9413,8016,6474,4938,4785,3898,3223,2804,3136,3356,2579,1850,1105,440,143,17
西淀川区,男,0,48345,1687,1919,2091,2450,2959,3262,2999,2905,3470,4479,3751,2985,2512,2946,3091,2254,1551,738,254,41,1
西淀川区,女,0,49338,1693,1818,2040,2308,2938,3063,2701,2915,3340,4033,3457,2890,2438,2800,3272,2862,2270,1507,744,220,29
西淀川区,計,50310,97683,3380,3737,4131,4758,5897,6325,5700,5820,6810,8512,7208,5875,4950,5746,6363,5116,3821,2245,998,261,30
淀川区,男,0,89158,3378,3130,3083,3234,5592,7910,7258,6947,6869,7740,6478,5272,4446,4620,5284,3717,2350,1288,452,98,12
淀川区,女,0,90536,3134,2946,2739,3219,5946,7337,6705,6412,6324,7162,5881,5016,4355,4886,5637,4817,3703,2650,1213,376,78
淀川区,計,104787,179694,6512,6076,5822,6453,11538,15247,13963,13359,13193,14902,12359,10288,8801,9506,10921,8534,6053,3938,1665,474,90
東淀川区,男,0,85379,2828,2928,3043,3403,5928,7252,6545,6031,6096,7056,6130,5222,4429,4835,5134,4019,2654,1310,458,65,13
東淀川区,女,0,87404,2726,2830,2853,3386,6247,6906,5785,5410,5573,6616,5829,4986,4083,4703,5561,5143,4130,2865,1324,382,66
東淀川区,計,100297,172783,5554,5758,5896,6789,12175,14158,12330,11441,11669,13672,11959,10208,8512,9538,10695,9162,6784,4175,1782,447,79
東成区,男,0,40198,1534,1490,1502,1757,2516,3111,2890,2791,2908,3315,2876,2487,2076,2326,2530,1744,1269,759,256,57,4
東成区,女,0,44051,1440,1391,1461,1685,2827,3443,3120,2783,2966,3311,2829,2485,2213,2432,2639,2404,2064,1534,747,230,47
東成区,計,47103,84249,2974,2881,2963,3442,5343,6554,6010,5574,5874,6626,5705,4972,4289,4758,5169,4148,3333,2293,1003,287,51
生野区,男,0,61431,1973,2049,2110,2699,4244,4326,3787,3583,3840,4699,4419,3913,3576,3995,4430,3405,2458,1395,439,78,13
生野区,女,0,65856,1917,1919,2001,2629,4405,4146,3678,3321,3684,4403,4388,3946,3508,4029,4758,4563,3907,2756,1347,461,90
生野区,計,71825,127287,3890,3968,4111,5328,8649,8472,7465,6904,7524,9102,8807,7859,7084,8024,9188,7968,6365,4151,1786,539,103
旭区,男,0,43140,1601,1618,1669,1815,2407,2423,2521,2795,2914,3577,3136,2736,2462,2803,3164,2330,1646,1051,387,75,10
旭区,女,0,47077,1553,1530,1561,1866,2450,2633,2605,2662,2895,3510,3162,2835,2483,2762,3369,3156,2704,2038,948,307,48
旭区,計,48493,90217,3154,3148,3230,3681,4857,5056,5126,5457,5809,7087,6298,5571,4945,5565,6533,5486,4350,3089,1335,382,58
城東区,男,0,81673,3511,3455,3679,3733,4350,4834,5221,5494,6319,7311,6183,5093,4083,4624,5146,3969,2591,1528,483,62,4
城東区,女,0,89281,3329,3260,3488,3581,4559,5115,5450,5732,6341,7565,6294,5222,4402,4916,5860,5212,4165,2981,1330,398,81
城東区,計,87890,170954,6840,6715,7167,7314,8909,9949,10671,11226,12660,14876,12477,10315,8485,9540,11006,9181,6756,4509,1813,460,85
鶴見区,男,0,53966,2745,2918,2995,2923,2794,2785,3350,3581,4235,4905,4281,3274,2627,2573,2753,2299,1705,940,236,46,1
鶴見区,女,0,59150,2521,2776,2851,2962,2900,3191,3495,3764,4349,5146,4393,3379,2623,2914,3381,3260,2623,1694,707,193,28
鶴見区,計,51798,113116,5266,5694,5846,5885,5694,5976,6845,7345,8584,10051,8674,6653,5250,5487,6134,5559,4328,2634,943,239,29
阿倍野区,男,0,51352,2403,2584,2395,2522,2781,2761,3014,3445,3764,4348,3730,3384,2897,2895,3073,2249,1587,1045,390,75,10
阿倍野区,女,0,59480,2247,2466,2307,2476,3066,3171,3349,3703,4235,4717,4222,3765,3180,3169,3653,3206,2811,2186,1164,326,61
阿倍野区,計,55443,110832,4650,5050,4702,4998,5847,5932,6363,7148,7999,9065,7952,7149,6077,6064,6726,5455,4398,3231,1554,401,71
住之江区,男,0,58428,1995,2299,2371,2573,3169,3018,3155,3492,3940,4770,4390,3830,3386,4194,4766,3391,2174,1109,353,44,9
住之江区,女,0,62802,1949,2118,2317,2411,3101,2916,3087,3380,3978,4695,4396,3999,3790,4517,5078,4256,3268,2194,970,332,50
住之江区,計,63556,121230,3944,4417,4688,4984,6270,5934,6242,6872,7918,9465,8786,7829,7176,8711,9844,7647,5442,3303,1323,376,59
住吉区,男,0,71783,2866,2812,3041,3347,4087,4229,4349,4429,4930,5960,5499,4871,3940,4242,4694,3661,2611,1571,534,98,12
住吉区,女,0,81238,2776,2916,2929,3227,4252,4575,4366,4652,5097,6264,6047,5104,4137,4587,5665,5026,4329,3214,1524,475,76
住吉区,計,80728,153021,5642,5728,5970,6574,8339,8804,8715,9081,10027,12224,11546,9975,8077,8829,10359,8687,6940,4785,2058,573,88
東住吉区,男,0,62586,2450,2511,2506,2896,3501,3569,3630,3710,4166,5074,4893,4257,3562,3802,4233,3388,2390,1440,520,82,6
東住吉区,女,0,68752,2374,2372,2400,2820,3749,3851,3788,3768,4266,5175,4873,4231,3514,3795,4776,4421,3808,2831,1414,455,71
東住吉区,計,68945,131338,4824,4883,4906,5716,7250,7420,7418,7478,8432,10249,9766,8488,7076,7597,9009,7809,6198,4271,1934,537,77
平野区,男,0,93471,3458,3724,4211,4878,5695,5376,5149,5179,5848,8019,7763,6518,4888,5137,5988,5164,3880,1938,571,81,6
平野区,女,0,102259,3306,3620,3902,4752,5597,5324,4861,4968,5991,8353,8132,6542,4825,5367,7282,7484,6127,3811,1551,390,74
平野区,計,99560,195730,6764,7344,8113,9630,11292,10700,10010,10147,11839,16372,15895,13060,9713,10504,13270,12648,10007,5749,2122,471,80
西成区,男,0,61288,1107,1274,1437,1719,2912,2921,2626,2708,3164,4407,4528,4348,4394,6137,7000,5193,3358,1586,403,53,13
西成区,女,0,44350,1107,1131,1319,1598,2676,2483,2032,2100,2376,3163,2844,2646,2374,2964,3626,3485,3052,2045,983,307,39
西成区,計,72042,105638,2214,2405,2756,3317,5588,5404,4658,4808,5540,7570,7372,6994,6768,9101,10626,8678,6410,3631,1386,360,52
大阪市計,男,0,1325549,51815,51443,50905,55139,78047,93161,92081,92964,97442,112102,98267,82840,69670,77182,83832,62898,42952,23597,7713,1351,148
大阪市計,女,0,1408439,49586,48864,48418,53566,82660,96096,92355,92246,97024,110749,97025,82411,69037,76221,89638,80267,66062,46527,21922,6649,1116
大阪市計,計,1515640,2733988,101401,100307,99323,108705,160707,189257,184436,185210,194466,222851,195292,165251,138707,153403,173470,143165,109014,70124,29635,8000,1264
