基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,高殿１丁目,,男,,649,,15,11,16,9,8,6,11,8,7,6,6,9,5,12,14,12,5,10,4,7,6,6,4,1,5,6,9,14,9,16,9,8,12,9,11,11,8,10,10,18,14,14,15,10,13,11,13,9,9,9,7,11,10,4,7,3,11,5,5,10,7,3,7,9,3,5,2,7,4,4,3,3,4,4,3,3,4,4,3,1,5,1,1,1,,1,2,2,,,,,,,,,,,,,,
2011/3/31,高殿１丁目,,女,,686,,6,8,7,8,5,8,5,4,6,11,11,16,18,8,9,10,6,8,8,7,11,3,11,9,11,7,15,5,9,15,9,13,9,10,10,9,5,13,9,15,12,14,19,16,9,11,10,13,8,10,7,5,7,4,2,7,8,9,6,8,6,5,6,8,5,2,7,6,6,4,7,5,2,3,8,8,8,5,4,,5,2,4,4,4,2,,2,1,,2,,,1,1,,,,1,,,
2011/3/31,高殿１丁目,,計,543,1335,,21,19,23,17,13,14,16,12,13,17,17,25,23,20,23,22,11,18,12,14,17,9,15,10,16,13,24,19,18,31,18,21,21,19,21,20,13,23,19,33,26,28,34,26,22,22,23,22,17,19,14,16,17,8,9,10,19,14,11,18,13,8,13,17,8,7,9,13,10,8,10,8,6,7,11,11,12,9,7,1,10,3,5,5,4,3,2,4,1,,2,,,1,1,,,,1,,,
2011/3/31,高殿２丁目,,男,,1820,,11,16,21,14,16,9,23,15,20,18,20,22,17,26,17,18,30,25,27,19,18,21,24,12,24,23,29,18,33,24,33,26,34,29,25,23,30,30,20,37,32,24,24,28,15,26,30,28,34,20,22,19,22,25,26,22,27,19,28,22,32,30,27,37,22,22,15,10,26,27,16,15,18,14,9,14,12,12,14,8,6,5,12,8,4,3,3,3,3,,,2,,,1,,,,,,,
2011/3/31,高殿２丁目,,女,,1964,,21,15,18,25,15,9,14,14,20,16,10,13,23,13,20,17,19,30,19,18,22,31,20,19,23,24,23,29,25,27,22,27,28,26,28,21,31,36,24,32,35,23,29,22,31,30,29,31,35,23,24,28,26,24,30,24,17,32,15,33,30,25,34,40,30,18,25,23,22,25,13,17,18,19,15,14,21,17,16,17,18,11,10,13,9,8,9,6,6,5,4,2,3,7,,1,3,,1,1,,
2011/3/31,高殿２丁目,,計,1666,3784,,32,31,39,39,31,18,37,29,40,34,30,35,40,39,37,35,49,55,46,37,40,52,44,31,47,47,52,47,58,51,55,53,62,55,53,44,61,66,44,69,67,47,53,50,46,56,59,59,69,43,46,47,48,49,56,46,44,51,43,55,62,55,61,77,52,40,40,33,48,52,29,32,36,33,24,28,33,29,30,25,24,16,22,21,13,11,12,9,9,5,4,4,3,7,1,1,3,,1,1,,
2011/3/31,高殿３丁目,,男,,1315,,10,7,6,6,6,10,8,16,9,15,8,17,13,9,13,10,13,12,12,13,7,21,18,8,14,11,11,18,10,14,15,17,21,18,13,13,16,17,24,14,22,14,17,18,13,18,14,20,16,10,15,13,19,14,23,10,15,22,23,16,26,20,34,23,11,20,20,18,14,31,23,21,20,16,7,18,21,16,18,10,13,8,8,10,8,8,6,10,6,,3,1,1,1,,,,,,,,
2011/3/31,高殿３丁目,,女,,1492,,6,7,7,11,7,7,3,6,16,9,8,13,10,10,7,14,5,6,8,13,10,12,9,16,13,15,15,16,22,13,5,17,15,15,15,15,13,24,18,17,21,20,25,22,9,21,18,16,15,16,14,16,17,19,19,6,26,16,20,21,31,32,31,29,17,16,29,18,26,26,20,25,23,28,24,23,19,27,23,20,29,24,13,20,9,16,14,10,10,11,6,5,1,2,1,2,2,,2,1,2,
2011/3/31,高殿３丁目,,計,1288,2807,,16,14,13,17,13,17,11,22,25,24,16,30,23,19,20,24,18,18,20,26,17,33,27,24,27,26,26,34,32,27,20,34,36,33,28,28,29,41,42,31,43,34,42,40,22,39,32,36,31,26,29,29,36,33,42,16,41,38,43,37,57,52,65,52,28,36,49,36,40,57,43,46,43,44,31,41,40,43,41,30,42,32,21,30,17,24,20,20,16,11,9,6,2,3,1,2,2,,2,1,2,
2011/3/31,高殿４丁目,,男,,1204,,16,9,17,11,8,7,14,12,7,21,10,7,8,12,12,10,6,12,6,7,14,8,9,12,17,13,15,15,8,20,12,15,12,17,27,17,28,27,29,22,24,20,18,22,21,22,22,13,15,11,17,15,9,13,8,15,16,15,11,14,17,22,21,30,24,15,11,12,19,19,14,10,4,15,16,8,9,13,8,3,7,4,8,5,4,3,1,5,1,2,1,1,1,,1,,,,,,,
