基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,高殿１丁目,,男,0,726,0,5,12,15,6,17,6,11,2,7,8,4,7,7,8,5,10,11,9,4,9,10,9,13,14,7,10,10,13,12,14,7,11,9,11,10,19,11,11,16,17,10,15,5,9,8,9,14,9,17,15,13,14,9,9,10,14,8,7,9,7,11,8,3,7,3,9,4,7,7,6,3,6,5,6,3,2,2,4,1,3,3,2,1,3,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2020/3/31,高殿１丁目,,女,0,783,0,15,11,15,11,11,11,5,7,5,6,3,3,7,2,10,6,5,7,14,12,16,25,7,12,8,12,12,11,14,12,12,13,14,12,14,15,9,9,13,8,9,5,10,10,11,6,10,9,19,14,13,17,20,12,12,5,13,8,11,6,5,5,4,4,7,7,7,5,5,7,7,5,3,6,2,4,7,10,3,7,4,0,3,4,6,7,5,2,0,1,3,2,1,0,0,0,1,0,0,0,0,0
2020/3/31,高殿１丁目,,計,651,1509,0,20,23,30,17,28,17,16,9,12,14,7,10,14,10,15,16,16,16,18,21,26,34,20,26,15,22,22,24,26,26,19,24,23,23,24,34,20,20,29,25,19,20,15,19,19,15,24,18,36,29,26,31,29,21,22,19,21,15,20,13,16,13,7,11,10,16,11,12,12,13,10,11,8,12,5,6,9,14,4,10,7,2,4,7,8,9,7,3,1,1,3,2,1,0,1,0,1,0,0,0,0,0
2020/3/31,高殿２丁目,,男,0,1673,0,11,11,10,11,10,17,9,7,15,11,9,15,13,17,12,23,15,21,14,21,21,21,22,15,16,24,21,14,21,15,16,15,14,23,15,23,15,31,18,26,21,32,24,27,17,23,22,26,43,33,29,24,31,12,29,30,24,28,21,21,22,21,24,24,18,24,21,25,24,30,26,22,33,17,18,11,5,18,20,10,15,15,10,6,6,6,3,11,4,2,1,4,1,0,0,0,1,0,0,0,0,0
2020/3/31,高殿２丁目,,女,0,1877,0,9,10,16,8,4,15,12,12,12,10,12,19,19,16,10,19,14,18,11,10,17,32,16,21,19,18,17,14,24,17,20,16,24,21,14,24,16,17,22,18,28,24,22,24,22,34,31,24,32,29,32,30,21,31,24,29,27,33,23,30,32,27,27,33,21,18,33,16,35,28,25,33,34,29,16,23,23,22,24,13,16,14,16,16,14,22,8,11,11,11,6,5,10,2,3,4,2,0,1,0,0,0
2020/3/31,高殿２丁目,,計,1740,3550,0,20,21,26,19,14,32,21,19,27,21,21,34,32,33,22,42,29,39,25,31,38,53,38,36,35,42,38,28,45,32,36,31,38,44,29,47,31,48,40,44,49,56,46,51,39,57,53,50,75,62,61,54,52,43,53,59,51,61,44,51,54,48,51,57,39,42,54,41,59,58,51,55,67,46,34,34,28,40,44,23,31,29,26,22,20,28,11,22,15,13,7,9,11,2,3,4,3,0,1,0,0,0
2020/3/31,高殿３丁目,,男,0,1201,0,8,4,8,12,8,11,8,11,5,16,9,9,8,8,11,11,17,10,14,8,14,15,9,11,8,7,10,12,8,8,14,11,10,17,6,13,14,12,9,15,15,17,10,14,19,17,16,23,18,22,12,19,16,11,19,14,18,17,7,14,12,13,15,21,8,15,15,20,15,30,22,29,20,12,10,16,16,10,27,17,21,15,9,7,12,13,7,10,5,9,1,4,2,2,2,1,0,0,0,0,1,0
2020/3/31,高殿３丁目,,女,0,1412,0,8,7,6,5,11,10,9,11,6,7,7,4,11,6,7,5,6,16,11,5,11,8,9,7,14,8,7,10,10,6,13,8,9,15,12,14,12,19,12,14,14,11,14,13,18,19,28,22,18,22,16,23,27,8,27,19,18,17,17,16,14,15,18,19,5,29,16,19,21,28,31,32,32,19,17,26,22,29,23,19,20,23,22,18,24,11,20,17,11,13,14,8,12,6,6,3,2,3,2,0,0,0
2020/3/31,高殿３丁目,,計,1296,2613,0,16,11,14,17,19,21,17,22,11,23,16,13,19,14,18,16,23,26,25,13,25,23,18,18,22,15,17,22,18,14,27,19,19,32,18,27,26,31,21,29,29,28,24,27,37,36,44,45,36,44,28,42,43,19,46,33,36,34,24,30,26,28,33,40,13,44,31,39,36,58,53,61,52,31,27,42,38,39,50,36,41,38,31,25,36,24,27,27,16,22,15,12,14,8,8,4,2,3,2,0,1,0
2020/3/31,高殿４丁目,,男,0,1256,0,16,6,8,13,7,13,9,11,6,14,8,16,14,8,8,11,12,5,21,8,8,10,17,10,14,14,21,21,18,12,17,10,11,17,18,11,14,15,20,16,23,18,18,22,17,31,29,28,28,24,18,16,18,23,20,19,14,21,14,15,16,14,14,5,15,14,14,8,12,14,17,18,25,18,9,7,9,14,12,12,8,2,12,11,2,5,4,3,1,2,2,3,3,3,0,1,1,0,2,0,0,0
2020/3/31,高殿４丁目,,女,0,1263,0,11,4,7,16,4,16,8,7,8,9,10,10,19,11,8,13,14,16,9,13,21,9,8,10,13,10,8,12,13,12,5,13,11,19,18,14,26,11,17,22,15,30,15,26,24,28,24,30,19,22,15,18,18,20,18,14,7,19,12,7,16,9,14,14,20,12,14,9,12,15,15,24,21,19,4,6,18,10,16,14,6,15,10,9,9,11,6,13,7,4,9,2,1,6,1,3,0,0,1,1,1,0
2020/3/31,高殿４丁目,,計,1346,2519,0,27,10,15,29,11,29,17,18,14,23,18,26,33,19,16,24,26,21,30,21,29,19,25,20,27,24,29,33,31,24,22,23,22,36,36,25,40,26,37,38,38,48,33,48,41,59,53,58,47,46,33,34,36,43,38,33,21,40,26,22,32,23,28,19,35,26,28,17,24,29,32,42,46,37,13,13,27,24,28,26,14,17,22,20,11,16,10,16,8,6,11,5,4,9,1,4,1,0,3,1,1,0
2020/3/31,高殿５丁目,,男,0,1002,0,7,5,7,4,3,2,11,3,8,6,7,9,8,6,13,8,6,6,2,6,8,16,10,7,7,4,5,5,5,7,7,8,4,4,6,6,11,9,6,11,8,11,14,20,13,15,19,19,12,18,17,13,17,20,11,8,5,14,17,6,9,15,9,13,15,12,18,18,21,21,33,21,25,18,15,20,15,19,17,17,10,10,8,13,16,4,5,5,6,4,3,5,0,5,4,1,1,1,0,0,0,0
2020/3/31,高殿５丁目,,女,0,1255,0,2,4,4,6,5,4,5,7,9,8,11,3,2,6,11,5,3,8,11,9,5,5,11,7,2,8,6,6,4,6,7,10,7,6,11,10,10,5,7,12,8,17,26,10,17,26,17,18,12,14,19,16,12,16,22,11,17,15,14,6,22,14,8,19,19,15,19,20,26,24,27,28,41,24,24,27,27,27,18,22,21,20,23,25,10,21,15,12,16,14,14,8,9,3,4,3,2,1,0,0,2,0
