基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,井高野１丁目,,男,0,1283,0,8,7,13,7,11,6,10,13,11,10,17,15,7,11,11,13,16,12,15,12,19,16,12,20,14,8,12,16,11,15,12,14,11,16,12,11,12,9,11,6,12,9,17,16,12,12,19,22,18,16,25,27,31,24,22,20,17,24,16,24,22,17,14,15,16,13,17,11,23,16,24,20,20,8,6,16,15,24,10,14,16,11,10,12,12,8,7,7,5,1,4,1,2,0,0,0,0,1,0,0,0,0
2020/3/31,井高野１丁目,,女,0,1438,0,7,10,10,10,11,14,7,12,10,7,7,10,7,11,7,7,11,15,14,16,18,17,16,12,7,16,19,15,14,13,19,13,10,15,13,8,7,9,20,12,10,12,21,8,15,16,28,34,16,23,21,23,30,30,26,25,26,23,18,12,12,17,9,15,17,13,19,18,21,20,22,19,27,22,14,25,19,19,29,22,21,9,19,17,28,11,14,14,9,7,4,5,1,1,1,2,0,2,0,1,0,0
2020/3/31,井高野１丁目,,計,1370,2721,0,15,17,23,17,22,20,17,25,21,17,24,25,14,22,18,20,27,27,29,28,37,33,28,32,21,24,31,31,25,28,31,27,21,31,25,19,19,18,31,18,22,21,38,24,27,28,47,56,34,39,46,50,61,54,48,45,43,47,34,36,34,34,23,30,33,26,36,29,44,36,46,39,47,30,20,41,34,43,39,36,37,20,29,29,40,19,21,21,14,8,8,6,3,1,1,2,0,3,0,1,0,0
2020/3/31,井高野２丁目,,男,0,947,0,3,9,7,7,7,7,6,4,7,3,8,7,10,7,6,8,3,7,12,9,1,5,5,7,9,11,6,6,13,11,11,10,11,12,7,12,9,13,7,5,11,12,8,16,19,14,20,10,21,13,14,12,19,6,16,8,15,10,8,8,16,7,9,8,13,13,13,15,14,13,20,14,20,14,13,13,16,18,20,19,14,14,14,9,10,5,7,7,0,1,1,2,1,3,1,0,1,0,0,0,1,0
2020/3/31,井高野２丁目,,女,0,1004,0,7,4,9,3,5,2,2,4,4,2,6,9,2,5,2,6,6,14,7,6,5,10,9,7,7,5,12,11,10,5,8,11,8,5,12,9,10,7,9,14,10,8,10,11,6,13,11,15,10,12,12,18,10,9,14,7,12,15,13,11,6,17,6,5,10,8,10,19,19,21,23,21,27,19,11,13,17,31,25,26,21,10,18,16,13,12,16,12,9,7,3,10,2,3,4,2,1,2,0,0,3,0
2020/3/31,井高野２丁目,,計,1120,1951,0,10,13,16,10,12,9,8,8,11,5,14,16,12,12,8,14,9,21,19,15,6,15,14,14,16,16,18,17,23,16,19,21,19,17,19,21,19,20,16,19,21,20,18,27,25,27,31,25,31,25,26,30,29,15,30,15,27,25,21,19,22,24,15,13,23,21,23,34,33,34,43,35,47,33,24,26,33,49,45,45,35,24,32,25,23,17,23,19,9,8,4,12,3,6,5,2,2,2,0,0,4,0
2020/3/31,井高野３丁目,,男,0,1996,0,10,6,11,15,24,10,22,27,24,21,24,19,27,24,21,24,27,35,34,36,32,22,26,21,23,24,17,20,23,17,10,14,13,14,15,11,30,21,31,17,25,30,45,32,28,27,39,42,33,36,34,38,35,25,18,31,30,30,21,33,23,21,23,19,17,15,16,28,17,20,23,20,16,25,18,11,24,21,23,20,18,9,13,11,11,6,9,7,10,8,5,6,1,5,2,1,0,0,0,0,0,0
2020/3/31,井高野３丁目,,女,0,2267,0,4,11,10,15,17,21,22,23,33,30,25,30,15,22,17,27,21,22,28,30,27,22,22,24,25,17,15,13,12,19,12,15,7,18,17,18,33,22,20,32,28,34,39,35,40,41,29,38,47,53,36,42,42,33,29,28,36,30,28,27,19,26,17,22,25,21,24,18,19,17,30,29,33,25,23,19,26,29,24,29,11,20,22,29,22,21,15,23,20,18,8,17,11,7,3,2,5,3,1,1,5,0
2020/3/31,井高野３丁目,,計,1892,4263,0,14,17,21,30,41,31,44,50,57,51,49,49,42,46,38,51,48,57,62,66,59,44,48,45,48,41,32,33,35,36,22,29,20,32,32,29,63,43,51,49,53,64,84,67,68,68,68,80,80,89,70,80,77,58,47,59,66,60,49,60,42,47,40,41,42,36,40,46,36,37,53,49,49,50,41,30,50,50,47,49,29,29,35,40,33,27,24,30,30,26,13,23,12,12,5,3,5,3,1,1,5,0
2020/3/31,井高野４丁目,,男,0,654,0,3,5,1,2,3,4,1,5,3,2,1,3,5,2,4,3,8,10,6,11,9,7,7,5,6,7,1,7,8,4,1,7,4,3,2,8,4,4,8,3,7,6,8,3,7,5,19,5,10,15,14,17,10,12,10,8,9,6,9,8,6,7,2,11,7,9,5,8,7,10,10,9,8,13,4,10,14,16,17,18,11,11,15,11,6,7,6,5,4,5,3,1,1,0,2,0,0,0,0,0,0,0
2020/3/31,井高野４丁目,,女,0,766,0,6,5,6,4,1,4,4,3,3,4,3,5,3,2,4,3,7,6,8,3,9,10,5,3,6,9,5,10,6,5,3,2,3,1,12,8,4,7,4,2,6,7,5,8,16,7,11,7,6,15,11,9,11,5,11,11,10,6,5,5,2,5,3,8,9,7,9,8,9,8,19,11,11,17,8,11,12,22,25,20,14,19,21,18,18,8,13,14,6,8,6,6,9,4,4,1,1,0,1,0,1,0
2020/3/31,井高野４丁目,,計,804,1420,0,9,10,7,6,4,8,5,8,6,6,4,8,8,4,8,6,15,16,14,14,18,17,12,8,12,16,6,17,14,9,4,9,7,4,14,16,8,11,12,5,13,13,13,11,23,12,30,12,16,30,25,26,21,17,21,19,19,12,14,13,8,12,5,19,16,16,14,16,16,18,29,20,19,30,12,21,26,38,42,38,25,30,36,29,24,15,19,19,10,13,9,7,10,4,6,1,1,0,1,0,1,0
2020/3/31,北江口１丁目,,男,0,720,0,0,4,1,5,3,5,5,7,10,3,8,12,5,6,5,6,10,7,14,12,11,12,9,7,12,9,7,5,4,7,3,4,5,4,7,6,0,4,1,5,4,7,11,12,9,7,3,13,9,8,11,9,13,11,14,12,16,19,10,8,8,7,9,9,5,7,10,15,8,11,9,21,9,9,6,11,6,7,7,10,6,9,13,9,6,5,8,6,4,1,3,2,0,3,2,0,1,0,1,1,0,0
2020/3/31,北江口１丁目,,女,0,915,0,0,5,1,4,4,4,4,7,11,9,9,9,4,4,10,7,6,12,10,4,14,13,5,10,7,10,11,5,3,6,10,4,7,4,9,9,4,6,3,12,9,4,13,11,10,12,7,9,13,15,23,19,18,15,12,17,15,11,11,13,7,14,9,14,10,10,10,7,22,11,11,15,16,14,12,10,9,14,20,17,10,9,13,12,12,10,8,14,4,6,12,6,4,2,3,1,0,2,1,0,1,0
2020/3/31,北江口１丁目,,計,796,1635,0,0,9,2,9,7,9,9,14,21,12,17,21,9,10,15,13,16,19,24,16,25,25,14,17,19,19,18,10,7,13,13,8,12,8,16,15,4,10,4,17,13,11,24,23,19,19,10,22,22,23,34,28,31,26,26,29,31,30,21,21,15,21,18,23,15,17,20,22,30,22,20,36,25,23,18,21,15,21,27,27,16,18,26,21,18,15,16,20,8,7,15,8,4,5,5,1,1,2,2,1,1,0
