基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,鶴橋１丁目,,男,,424,,2,,2,,3,1,,2,,,,2,1,,3,1,,4,2,1,5,2,7,4,5,10,7,10,9,7,6,3,7,5,8,6,8,4,7,7,10,10,4,8,6,6,6,7,4,8,10,,8,5,5,8,3,8,8,8,7,8,13,6,12,,4,7,7,8,9,7,3,2,8,4,7,6,4,4,3,4,2,,1,,,,3,,,1,,,,1,,,,,,
2011/3/31,鶴橋１丁目,,女,,296,,4,1,1,2,1,2,,2,,3,1,,1,,3,3,4,,1,1,3,4,4,2,8,6,6,6,3,5,6,4,5,2,3,1,6,5,4,1,3,4,5,8,3,3,2,4,1,3,4,1,3,1,5,4,3,3,4,5,4,2,4,5,1,2,7,6,9,3,5,4,4,6,3,3,8,2,3,3,6,2,5,2,1,5,2,1,3,,1,,,,,,,1,,,,
2011/3/31,鶴橋１丁目,,計,538,720,,6,1,3,2,4,3,,4,,3,1,2,2,,6,4,4,4,3,2,8,6,11,6,13,16,13,16,12,12,12,7,12,7,11,7,14,9,11,8,13,14,9,16,9,9,8,11,5,11,14,1,11,6,10,12,6,11,12,13,11,10,17,11,13,2,11,13,16,11,14,11,7,8,11,7,15,8,7,7,9,6,7,2,2,5,2,1,6,,1,1,,,,1,,1,,,,
2011/3/31,鶴橋２丁目,,男,,464,,1,2,4,2,5,1,1,,2,,3,1,5,2,3,2,4,3,4,3,,4,7,5,8,15,10,3,4,4,1,6,10,5,5,12,4,5,7,4,12,7,7,4,2,5,5,4,1,6,6,5,9,6,3,3,7,4,8,8,11,4,11,13,13,4,6,3,9,7,8,11,2,5,9,8,4,5,2,7,9,1,7,4,3,4,2,4,3,1,1,,2,,1,,1,,,,,
2011/3/31,鶴橋２丁目,,女,,475,,1,2,2,1,,,1,1,1,2,1,3,1,4,1,2,2,1,3,3,4,3,5,10,9,7,4,5,8,5,10,7,6,5,5,5,5,2,7,5,6,3,4,5,4,7,2,5,2,5,1,6,8,2,4,7,6,8,4,7,7,12,8,11,5,6,10,9,8,7,3,3,11,8,8,8,7,13,8,6,3,12,4,6,7,9,2,3,6,2,2,3,4,2,3,,1,1,1,1,,
2011/3/31,鶴橋２丁目,,計,557,939,,2,4,6,3,5,1,2,1,3,2,4,4,6,6,4,4,6,4,7,6,4,7,12,15,17,22,14,8,12,9,11,13,16,10,10,17,9,7,14,9,18,10,11,9,6,12,7,9,3,11,7,11,17,8,7,10,13,12,12,15,18,16,19,24,18,10,16,12,17,14,11,14,13,13,17,16,11,18,10,13,12,13,11,10,10,13,4,7,9,3,3,3,6,2,4,,2,1,1,1,,
2011/3/31,鶴橋３丁目,,男,,375,,4,,4,2,2,2,1,2,1,1,3,,3,2,5,1,3,4,,6,2,2,1,2,8,3,8,10,12,9,2,6,3,8,6,7,5,4,5,8,1,4,4,6,3,3,6,5,5,4,3,4,4,3,2,8,5,9,5,6,6,13,17,9,3,6,1,6,4,7,6,5,4,4,3,5,3,6,2,3,3,6,1,1,1,1,,1,,1,,,,,,,,,,,,
2011/3/31,鶴橋３丁目,,女,,496,,4,3,2,2,1,1,2,4,3,1,1,2,1,2,,1,2,3,2,6,6,6,6,5,11,8,7,10,8,6,4,7,2,6,2,6,3,6,9,3,6,3,6,7,5,6,15,3,5,1,4,2,5,9,7,6,5,11,11,6,4,8,8,11,12,5,4,9,12,8,6,9,8,2,3,4,9,10,10,10,9,8,4,13,5,3,2,3,1,3,2,1,,,,,1,,1,,1,
2011/3/31,鶴橋３丁目,,計,472,871,,8,3,6,4,3,3,3,6,4,2,4,2,4,4,5,2,5,7,2,12,8,8,7,7,19,11,15,20,20,15,6,13,5,14,8,13,8,10,14,11,7,7,10,13,8,9,21,8,10,5,7,6,9,12,9,14,10,20,16,12,10,21,25,20,15,11,5,15,16,15,12,14,12,6,6,9,12,16,12,13,12,14,5,14,6,4,2,4,1,4,2,1,,,,,1,,1,,1,
2011/3/31,鶴橋４丁目,,男,,426,,2,3,2,3,6,4,1,3,,2,2,3,4,3,7,1,6,3,2,5,4,4,4,9,4,7,6,3,5,6,6,8,4,6,7,10,5,5,3,9,5,6,8,6,8,1,4,9,5,5,1,4,4,5,5,6,4,5,3,4,9,10,3,11,6,5,3,3,5,8,8,5,3,2,8,9,6,8,2,7,3,1,1,5,4,6,2,,1,1,4,1,,,,,,1,,,,
2011/3/31,鶴橋４丁目,,女,,397,,4,2,1,2,3,1,,3,5,4,3,2,2,2,7,1,5,4,1,6,6,3,6,3,3,4,6,6,3,3,5,4,3,3,6,2,4,5,4,2,2,2,4,2,5,9,6,10,6,5,2,3,6,3,2,6,3,2,4,5,3,4,3,2,2,6,3,5,10,7,9,6,6,12,10,9,5,4,7,8,3,7,6,6,5,1,4,2,3,3,3,,2,3,1,,,1,,,,
2011/3/31,鶴橋４丁目,,計,443,823,,6,5,3,5,9,5,1,6,5,6,5,5,6,5,14,2,11,7,3,11,10,7,10,12,7,11,12,9,8,9,11,12,7,9,13,12,9,10,7,11,7,8,12,8,13,10,10,19,11,10,3,7,10,8,7,12,7,7,7,9,12,14,6,13,8,11,6,8,15,15,17,11,9,14,18,18,11,12,9,15,6,8,7,11,9,7,6,2,4,4,7,1,2,3,1,,,2,,,,
