基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,片町１丁目,,男,0,699,0,6,15,4,5,4,5,1,2,2,2,0,4,3,4,1,1,4,5,2,6,4,6,13,6,12,26,14,19,24,21,17,14,14,12,12,8,15,15,12,13,18,12,21,13,14,15,10,17,12,8,15,11,11,10,15,7,13,9,7,6,3,6,9,7,7,5,3,7,4,6,7,9,3,1,1,3,4,1,5,4,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/31,片町１丁目,,女,0,669,0,5,2,1,2,3,3,4,3,2,1,2,2,2,1,2,6,2,3,0,4,8,3,7,11,19,17,21,14,29,20,16,14,14,12,16,20,13,16,18,19,12,12,9,16,14,11,13,12,13,13,16,8,11,4,11,7,11,4,5,6,9,7,4,0,8,3,2,4,5,8,7,3,6,4,1,3,1,5,3,2,2,2,2,2,3,1,1,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0
2020/3/31,片町１丁目,,計,971,1368,0,11,17,5,7,7,8,5,5,4,3,2,6,5,5,3,7,6,8,2,10,12,9,20,17,31,43,35,33,53,41,33,28,28,24,28,28,28,31,30,32,30,24,30,29,28,26,23,29,25,21,31,19,22,14,26,14,24,13,12,12,12,13,13,7,15,8,5,11,9,14,14,12,9,5,2,6,5,6,8,6,3,3,3,3,3,2,2,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0
2020/3/31,片町２丁目,,男,0,369,0,4,2,0,2,2,0,1,0,0,2,0,0,1,3,1,2,1,1,1,1,1,2,5,9,13,11,14,11,10,9,8,9,9,11,8,7,10,7,9,7,12,3,6,3,4,7,1,5,6,8,2,1,1,2,7,2,4,4,3,6,5,2,3,4,3,7,3,9,4,4,4,7,2,4,4,5,4,1,1,2,1,2,0,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
2020/3/31,片町２丁目,,女,0,351,0,1,1,0,2,1,0,0,0,0,1,2,0,1,0,0,1,0,1,0,2,5,4,10,13,7,8,13,15,15,8,17,9,6,9,5,4,6,13,4,10,5,6,3,4,2,5,8,3,5,7,3,1,4,4,4,4,1,2,1,6,2,1,3,4,2,2,0,4,3,9,3,6,2,1,0,4,5,1,0,0,3,4,1,1,3,1,0,1,3,2,2,1,1,1,1,0,1,0,0,1,0,0
2020/3/31,片町２丁目,,計,569,720,0,5,3,0,4,3,0,1,0,0,3,2,0,2,3,1,3,1,2,1,3,6,6,15,22,20,19,27,26,25,17,25,18,15,20,13,11,16,20,13,17,17,9,9,7,6,12,9,8,11,15,5,2,5,6,11,6,5,6,4,12,7,3,6,8,5,9,3,13,7,13,7,13,4,5,4,9,9,2,1,2,4,6,1,2,3,1,0,2,3,2,2,4,3,1,1,0,1,0,0,1,0,0
2020/3/31,網島町,,男,0,576,0,5,6,2,0,6,3,3,3,4,3,2,3,4,3,1,3,4,1,3,0,2,1,4,8,8,13,10,12,11,10,8,16,14,9,12,9,8,7,10,18,14,6,12,18,12,10,13,10,10,9,9,14,5,6,12,14,6,5,5,9,6,4,3,5,6,8,4,4,8,9,11,10,6,8,1,2,4,5,3,1,4,4,0,4,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/31,網島町,,女,0,654,0,1,4,6,3,2,4,7,5,4,4,5,5,4,5,3,3,2,1,2,2,5,1,5,6,6,3,10,7,11,9,10,13,9,10,8,8,15,11,11,16,14,15,11,11,8,9,15,15,13,7,4,12,9,9,6,8,11,8,4,13,7,7,6,3,8,6,12,5,8,10,14,20,8,8,3,2,5,8,7,7,6,4,2,2,4,7,2,6,4,2,5,1,2,1,0,1,1,1,0,1,0,0
2020/3/31,網島町,,計,792,1230,0,6,10,8,3,8,7,10,8,8,7,7,8,8,8,4,6,6,2,5,2,7,2,9,14,14,16,20,19,22,19,18,29,23,19,20,17,23,18,21,34,28,21,23,29,20,19,28,25,23,16,13,26,14,15,18,22,17,13,9,22,13,11,9,8,14,14,16,9,16,19,25,30,14,16,4,4,9,13,10,8,10,8,2,6,7,7,4,8,5,2,5,1,2,1,0,1,1,1,0,1,0,0
2020/3/31,東野田町１丁目,,男,0,885,0,8,6,5,7,2,1,2,2,3,5,1,7,3,5,2,4,2,3,4,9,5,11,20,25,27,34,23,27,24,27,28,24,27,21,18,18,13,14,14,7,18,18,10,16,13,19,16,22,12,21,16,16,14,11,14,9,13,11,9,6,6,2,8,3,13,8,4,6,7,4,3,3,5,5,6,5,3,2,1,1,0,1,2,5,2,2,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
