基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,下寺１丁目,,男,,377,,,4,4,4,1,,,,1,,,,1,2,1,2,2,1,3,1,3,7,2,11,9,10,14,10,15,13,8,10,6,11,9,13,4,5,13,8,8,5,4,4,2,8,4,4,6,1,6,4,3,3,7,3,2,4,5,8,7,4,6,8,11,2,6,3,2,1,3,3,1,2,2,4,2,2,3,2,,1,1,1,1,,,,,,,,,,,,,,,,,
2011/3/31,下寺１丁目,,女,,325,,,,1,1,,2,,,1,2,2,,,4,3,2,2,1,4,6,2,7,8,14,9,6,13,11,7,8,7,5,11,7,7,5,6,5,4,3,2,7,3,2,5,1,2,4,4,3,1,4,4,5,2,2,1,2,4,2,7,5,6,6,6,,2,4,4,3,3,4,6,4,2,5,5,3,2,1,2,,1,2,2,1,2,,,,,,1,,,,,,,,,
2011/3/31,下寺１丁目,,計,521,702,,,4,5,5,1,2,,,2,2,2,,1,6,4,4,4,2,7,7,5,14,10,25,18,16,27,21,22,21,15,15,17,18,16,18,10,10,17,11,10,12,7,6,7,9,6,8,10,4,7,8,7,8,9,5,3,6,9,10,14,9,12,14,17,2,8,7,6,4,6,7,7,6,4,9,7,5,5,3,2,1,2,3,3,1,2,,,,,,1,,,,,,,,,
2011/3/31,下寺２丁目,,男,,537,,13,9,8,4,11,3,2,2,4,2,1,1,,3,,1,3,1,3,2,2,5,3,10,11,20,19,7,14,22,15,24,13,18,20,9,14,9,17,8,8,10,12,11,11,4,7,4,6,2,5,6,3,6,8,4,1,4,4,11,6,9,6,5,2,3,3,4,4,1,3,2,1,6,1,5,2,3,,3,,,2,2,1,1,,1,,,1,,,,,,,,,,,
2011/3/31,下寺２丁目,,女,,496,,10,9,8,2,3,3,4,4,3,2,4,1,2,,2,2,3,1,,6,7,13,6,21,16,17,16,8,27,13,18,14,15,16,11,6,10,15,8,7,14,4,6,3,3,4,5,6,4,4,3,3,6,6,3,4,1,2,3,4,3,3,4,5,4,5,,3,2,6,2,1,1,4,3,3,4,4,1,4,2,1,3,2,1,,2,1,,,,,,,,,,,1,,,
2011/3/31,下寺２丁目,,計,684,1033,,23,18,16,6,14,6,6,6,7,4,5,2,2,3,2,3,6,2,3,8,9,18,9,31,27,37,35,15,41,35,33,38,28,34,31,15,24,24,25,15,22,14,18,14,14,8,12,10,10,6,8,9,9,12,11,8,2,6,7,15,9,12,10,10,6,8,3,7,6,7,5,3,2,10,4,8,6,7,1,7,2,1,5,4,2,1,2,2,,,1,,,,,,,,1,,,
2011/3/31,下寺３丁目,,男,,669,,4,4,4,9,5,3,3,4,1,10,3,5,6,5,3,1,2,9,3,6,6,6,12,12,21,13,15,18,12,11,13,12,15,15,8,13,16,15,12,8,15,15,12,5,4,9,5,11,10,8,13,5,6,7,9,7,5,5,8,3,8,11,12,15,13,7,6,6,8,9,5,7,4,3,7,7,6,6,1,3,4,4,1,3,2,1,2,,,,3,,,,,,,,,,,
2011/3/31,下寺３丁目,,女,,545,,3,4,9,3,3,2,4,2,1,1,4,4,,1,7,2,4,,6,3,4,7,12,13,10,17,18,10,14,11,14,13,4,11,14,8,7,11,14,9,5,9,6,4,5,8,7,3,9,5,3,7,5,5,5,4,6,5,10,5,8,5,7,6,10,7,5,6,7,8,3,3,5,6,2,7,5,6,3,2,6,2,3,2,4,2,1,1,4,2,1,1,,2,,2,,,,1,,
2011/3/31,下寺３丁目,,計,806,1214,,7,8,13,12,8,5,7,6,2,11,7,9,6,6,10,3,6,9,9,9,10,13,24,25,31,30,33,28,26,22,27,25,19,26,22,21,23,26,26,17,20,24,18,9,9,17,12,14,19,13,16,12,11,12,14,11,11,10,18,8,16,16,19,21,23,14,11,12,15,17,8,10,9,9,9,14,11,12,4,5,10,6,4,5,6,3,3,1,4,2,4,1,,2,,2,,,,1,,
2011/3/31,日本橋東１丁目,,男,,333,,,2,,1,,1,1,2,,,,1,,2,1,4,2,,1,3,1,4,1,8,6,6,7,5,4,6,8,8,4,4,3,9,8,1,4,5,6,7,4,4,3,3,6,6,1,3,3,5,3,5,4,5,9,8,6,6,9,6,6,9,5,4,2,9,4,8,4,5,7,4,2,5,5,2,3,3,2,1,2,,1,,1,1,1,,1,1,,,,,,,,,,
