基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2011/3/31,放出東１丁目,,男,,987,,18,10,13,7,8,7,8,13,10,6,7,10,8,11,5,12,6,5,4,5,10,6,12,14,28,19,19,25,20,25,14,11,16,15,20,14,14,19,21,14,20,15,13,9,15,4,5,10,13,10,6,12,12,14,6,9,6,10,15,11,12,11,12,21,8,12,12,12,13,17,14,7,6,9,10,9,12,6,7,11,6,8,5,5,3,6,2,1,3,1,,,,,,1,,1,,,,
2011/3/31,放出東１丁目,,女,,1020,,12,13,11,12,13,9,12,7,4,8,11,9,6,7,9,7,9,4,12,5,9,11,8,17,16,18,20,22,19,17,15,19,16,25,16,13,18,11,14,9,18,10,6,20,9,12,11,8,14,5,5,12,13,8,11,8,12,11,14,5,17,17,15,15,11,5,8,6,19,10,16,18,9,14,18,8,13,15,9,8,8,4,9,2,4,10,10,3,2,1,,1,1,3,4,1,1,,,,,
2011/3/31,放出東１丁目,,計,936,2007,,30,23,24,19,21,16,20,20,14,14,18,19,14,18,14,19,15,9,16,10,19,17,20,31,44,37,39,47,39,42,29,30,32,40,36,27,32,30,35,23,38,25,19,29,24,16,16,18,27,15,11,24,25,22,17,17,18,21,29,16,29,28,27,36,19,17,20,18,32,27,30,25,15,23,28,17,25,21,16,19,14,12,14,7,7,16,12,4,5,2,,1,1,3,4,2,1,1,,,,
2011/3/31,放出東２丁目,,男,,1399,,14,13,12,11,16,11,9,8,9,12,5,12,9,16,11,12,13,14,27,15,11,23,14,13,23,21,29,22,21,27,16,24,16,15,21,15,24,17,32,15,20,18,16,20,13,15,17,23,13,15,20,20,20,16,22,13,14,16,16,23,26,24,22,18,16,10,17,18,20,19,15,16,11,19,25,13,9,17,13,11,9,10,10,10,5,2,5,2,2,1,,2,,1,,1,,1,1,,,
2011/3/31,放出東２丁目,,女,,1462,,14,13,15,11,5,9,7,9,13,16,8,6,10,11,9,15,8,12,18,12,14,7,19,12,15,14,22,19,26,20,20,27,18,28,16,18,20,17,15,12,18,22,23,19,20,16,17,25,28,14,10,17,20,24,18,13,18,10,19,15,19,16,23,27,17,19,19,20,20,27,14,26,25,19,22,24,15,14,12,12,13,16,15,17,7,5,12,10,4,7,8,3,1,3,1,,1,2,,1,,
2011/3/31,放出東２丁目,,計,1344,2861,,28,26,27,22,21,20,16,17,22,28,13,18,19,27,20,27,21,26,45,27,25,30,33,25,38,35,51,41,47,47,36,51,34,43,37,33,44,34,47,27,38,40,39,39,33,31,34,48,41,29,30,37,40,40,40,26,32,26,35,38,45,40,45,45,33,29,36,38,40,46,29,42,36,38,47,37,24,31,25,23,22,26,25,27,12,7,17,12,6,8,8,5,1,4,1,1,1,3,1,1,,
2011/3/31,放出東３丁目,,男,,2540,,41,39,45,42,38,29,30,22,29,20,15,9,14,15,10,16,15,16,11,22,12,15,27,18,22,15,26,21,35,31,29,43,46,55,59,64,70,78,71,67,64,47,42,49,28,33,38,33,45,26,29,23,23,19,20,38,24,22,14,33,30,38,38,48,26,21,20,27,26,24,28,31,20,20,23,17,22,32,18,10,12,10,13,6,8,10,4,7,6,4,,5,,1,,,1,,1,1,,
2011/3/31,放出東３丁目,,女,,2774,,40,41,47,44,24,27,35,21,19,20,14,14,12,19,18,15,9,15,20,11,21,18,25,28,35,30,29,31,43,33,49,47,53,54,82,62,75,66,49,48,46,41,43,43,37,34,43,33,31,35,30,26,28,20,24,22,37,23,20,32,25,44,42,43,24,22,29,27,32,37,42,31,23,33,29,27,26,16,20,22,21,20,21,15,15,16,17,15,11,9,10,6,4,,1,2,2,3,,1,,
2011/3/31,放出東３丁目,,計,2509,5314,,81,80,92,86,62,56,65,43,48,40,29,23,26,34,28,31,24,31,31,33,33,33,52,46,57,45,55,52,78,64,78,90,99,109,141,126,145,144,120,115,110,88,85,92,65,67,81,66,76,61,59,49,51,39,44,60,61,45,34,65,55,82,80,91,50,43,49,54,58,61,70,62,43,53,52,44,48,48,38,32,33,30,34,21,23,26,21,22,17,13,10,11,4,1,1,2,3,3,1,2,,
2011/3/31,今津南１丁目,,男,,816,,9,10,8,8,10,6,6,7,5,8,10,11,6,6,14,5,8,4,5,4,5,9,6,9,14,8,16,9,8,9,22,16,24,9,9,16,11,14,26,20,20,21,15,10,7,8,10,10,10,6,10,9,11,8,7,7,10,9,14,12,11,11,27,17,7,4,11,9,10,10,7,10,4,3,6,5,4,9,3,4,8,4,2,1,2,,,,,,,2,,,,,,,,1,,
