基準日,町丁目名,秘匿区分,男女別,世帯数,総数,合算総数,０歳,１歳,２歳,３歳,４歳,５歳,６歳,７歳,８歳,９歳,１０歳,１１歳,１２歳,１３歳,１４歳,１５歳,１６歳,１７歳,１８歳,１９歳,２０歳,２１歳,２２歳,２３歳,２４歳,２５歳,２６歳,２７歳,２８歳,２９歳,３０歳,３１歳,３２歳,３３歳,３４歳,３５歳,３６歳,３７歳,３８歳,３９歳,４０歳,４１歳,４２歳,４３歳,４４歳,４５歳,４６歳,４７歳,４８歳,４９歳,５０歳,５１歳,５２歳,５３歳,５４歳,５５歳,５６歳,５７歳,５８歳,５９歳,６０歳,６１歳,６２歳,６３歳,６４歳,６５歳,６６歳,６７歳,６８歳,６９歳,７０歳,７１歳,７２歳,７３歳,７４歳,７５歳,７６歳,７７歳,７８歳,７９歳,８０歳,８１歳,８２歳,８３歳,８４歳,８５歳,８６歳,８７歳,８８歳,８９歳,９０歳,９１歳,９２歳,９３歳,９４歳,９５歳,９６歳,９７歳,９８歳,９９歳,１００歳以上,不明
2020/3/31,西中島１丁目,,男,0,695,0,12,7,3,9,2,3,2,4,1,1,2,1,0,2,2,2,0,2,0,7,2,5,13,18,16,18,22,13,25,21,17,27,10,13,11,19,11,15,16,13,14,19,9,8,8,11,10,16,11,9,8,12,10,6,10,8,5,9,7,3,11,5,3,5,6,11,2,5,5,5,8,9,2,4,4,8,5,9,5,4,0,0,2,2,2,3,3,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0
2020/3/31,西中島１丁目,,女,0,549,0,2,6,4,7,2,4,4,1,0,2,0,3,3,1,2,3,1,0,2,4,9,9,22,15,12,9,19,10,16,11,12,11,15,13,11,9,8,17,4,5,3,8,9,11,11,8,12,6,6,3,9,7,6,6,0,3,2,2,9,7,1,8,4,2,1,3,3,7,4,2,8,10,3,2,8,7,5,8,2,4,4,3,3,5,4,1,2,1,2,4,3,3,2,1,1,1,0,0,1,0,0,0
2020/3/31,西中島１丁目,,計,880,1244,0,14,13,7,16,4,7,6,5,1,3,2,4,3,3,4,5,1,2,2,11,11,14,35,33,28,27,41,23,41,32,29,38,25,26,22,28,19,32,20,18,17,27,18,19,19,19,22,22,17,12,17,19,16,12,10,11,7,11,16,10,12,13,7,7,7,14,5,12,9,7,16,19,5,6,12,15,10,17,7,8,4,3,5,7,6,4,5,2,3,6,3,3,3,1,1,1,1,0,1,1,0,0
2020/3/31,西中島２丁目,,男,0,981,0,6,3,2,8,1,2,2,3,3,1,3,2,2,3,4,3,3,4,2,12,6,7,10,19,26,29,26,32,22,27,28,23,18,16,19,18,14,20,11,15,22,11,19,13,17,22,10,31,17,15,20,20,24,16,22,15,16,7,12,9,5,7,11,7,8,6,12,4,13,7,11,13,10,9,9,3,8,2,6,7,5,2,3,4,4,4,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0
2020/3/31,西中島２丁目,,女,0,860,0,6,8,3,4,4,3,0,2,3,1,2,2,1,1,1,5,3,4,7,8,7,12,17,22,33,24,22,26,23,28,21,19,15,22,16,20,12,16,17,8,7,9,11,13,10,12,12,12,17,17,12,10,6,7,8,7,8,5,7,8,5,11,6,11,10,4,9,6,5,6,12,8,17,12,2,10,4,6,11,5,4,6,5,6,5,5,6,3,4,5,1,0,0,0,0,3,0,1,0,0,0,0
2020/3/31,西中島２丁目,,計,1324,1841,0,12,11,5,12,5,5,2,5,6,2,5,4,3,4,5,8,6,8,9,20,13,19,27,41,59,53,48,58,45,55,49,42,33,38,35,38,26,36,28,23,29,20,30,26,27,34,22,43,34,32,32,30,30,23,30,22,24,12,19,17,10,18,17,18,18,10,21,10,18,13,23,21,27,21,11,13,12,8,17,12,9,8,8,10,9,9,7,4,5,7,2,1,1,0,0,3,0,1,0,0,0,0
2020/3/31,西中島３丁目,,男,0,304,0,0,4,0,0,1,0,1,0,2,0,2,1,1,0,0,1,2,0,0,2,4,1,6,5,8,6,9,9,7,12,11,6,13,9,7,5,7,8,5,5,5,3,3,7,4,4,5,6,7,8,1,6,2,4,5,6,2,2,2,4,1,1,3,0,5,3,0,4,2,3,6,4,4,1,2,2,0,2,1,2,0,1,1,4,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/31,西中島３丁目,,女,0,273,0,3,2,0,1,0,0,1,0,2,2,1,1,0,0,0,0,1,3,2,3,3,4,8,4,9,8,9,6,8,5,6,5,5,2,8,8,1,1,6,1,1,2,4,4,6,4,6,4,2,4,4,2,4,2,4,3,4,3,1,1,1,3,3,2,4,2,2,5,1,1,8,5,3,2,3,1,4,1,2,7,1,2,2,3,1,2,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0
2020/3/31,西中島３丁目,,計,433,577,0,3,6,0,1,1,0,2,0,4,2,3,2,1,0,0,1,3,3,2,5,7,5,14,9,17,14,18,15,15,17,17,11,18,11,15,13,8,9,11,6,6,5,7,11,10,8,11,10,9,12,5,8,6,6,9,9,6,5,3,5,2,4,6,2,9,5,2,9,3,4,14,9,7,3,5,3,4,3,3,9,1,3,3,7,3,2,0,4,2,1,4,0,1,0,0,0,0,0,0,0,0,0
2020/3/31,西中島４丁目,,男,0,551,0,1,4,2,3,2,0,1,1,0,2,2,2,1,2,2,3,2,1,1,8,2,9,4,12,13,13,18,19,13,12,12,10,12,20,10,14,7,12,10,10,11,13,8,7,7,12,6,10,16,13,8,7,8,8,6,7,6,5,9,11,6,7,3,4,10,3,7,5,6,5,5,3,8,6,1,1,3,0,4,2,1,1,0,0,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
