X,Y,学校名,施設名,施設名かな,所在地,地区名
135.5189473,34.69630011,滝川,大阪市立滝川小学校,おおさかしりつたきがわしょうがっこう,北区天満1-24-15,北区
135.5131059,34.69815797,堀川,大阪市立堀川小学校,おおさかしりつほりかわしょうがっこう,北区東天満2-10-7,北区
135.5067533,34.69666089,西天満,大阪市立西天満小学校,おおさかしりつにしてんましょうがっこう,北区西天満3-12-21,北区
135.5137251,34.70851897,菅北,大阪市立菅北小学校,おおさかしりつかんぼくしょうがっこう,北区菅栄町9-5,北区
135.5153751,34.71343297,豊崎東,大阪市立豊崎東小学校,おおさかしりつとよさきひがししょうがっこう,北区長柄中2-3-30,北区
135.5059583,34.71276689,豊崎本庄,大阪市立豊崎本庄小学校,おおさかしりつとよさきほんじょうしょうがっこう,北区本庄西2-1-16,北区
135.4939469,34.71346397,中津,大阪市立中津小学校,おおさかしりつなかつしょうがっこう,北区中津3-34-18,北区
135.4827002,34.70368592,大淀,大阪市立大淀小学校,おおさかしりつおおよどしょうがっこう,北区大淀中4-10-33,北区
135.5139333,34.716744,豊仁,大阪市立豊仁小学校,おおさかしりつほうじんしょうがっこう,北区長柄西2-6-20,北区
135.5003643,34.71238108,豊崎,大阪市立豊崎小学校,おおさかしりつとよさきしょうがっこう,北区豊崎4-5-9,北区
135.5067782,34.70477817,扇町,大阪市立扇町小学校,おおさかしりつおうぎまちしょうがっこう,北区扇町2-7-24,北区
135.5273561,34.69659997,桜宮,大阪市立桜宮小学校,おおさかしりつさくらのみやしょうがっこう,都島区東野田町1-10-19,都島区
135.5241923,34.70298914,中野,大阪市立中野小学校,おおさかしりつなかのしょうがっこう,都島区中野町3-10-5,都島区
135.5335613,34.71821414,高倉,大阪市立高倉小学校,おおさかしりつたかくらしょうがっこう,都島区高倉町3-3-10,都島区
135.5215223,34.72165603,淀川,大阪市立淀川小学校,おおさかしりつよどがわしょうがっこう,都島区毛馬町3-5-39,都島区
135.5282192,34.70726689,都島,大阪市立都島小学校,おおさかしりつみやこじましょうがっこう,都島区都島本通3-10-3,都島区
135.5373558,34.71346103,内代,大阪市立内代小学校,おおさかしりつうちんだいしょうがっこう,都島区内代町3-4-6,都島区
135.5341919,34.70809989,東都島,大阪市立東都島小学校,おおさかしりつひがしみやこじましょうがっこう,都島区都島本通4-24-20,都島区
135.5252999,34.72312792,大東,大阪市立大東小学校,おおさかしりつだいとうしょうがっこう,都島区毛馬町2-11-111,都島区
