"NO","営業所名称","営業の種類","区","営業所所在地","緯度","経度","営業者名","許可番号","許可満了日","申請区分"
25120173,"イオン長吉店（グリルチキン・弁当）","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"イオンリテールストア株式会社","大 保食第18-11575号","令和6年10月31日","更新"
25120173,"イオン長吉店（ピザ、おにぎり）","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"イオンリテールストア株式会社","大　保環第12781号","令和5年10月31日",NA
25120173,"イオン長吉店（焼魚・寿司）","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"イオンリテールストア株式会社","大　保環第775号","令和4年3月31日",NA
25120173,"イオン長吉店（惣菜）","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"イオンリテールストア株式会社","大　保環第778号","令和4年3月31日",NA
25160148,"イオン長吉店（おいしい水）","喫茶店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"イオンリテールストア株式会社","大 保食第19-9424号","令和6年9月30日","更新"
25190119,"弁当屋　アンド　フリージア","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"有限会社アドヴァンスフード","大 保食第19-12243号","令和7年11月30日","新規"
25230035,"太閤","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社シェフズパッション","大 保食第18-2622号","令和6年4月30日","更新"
25240039,"阪急ベーカリー＆カフェ　イオン長吉店","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社阪急Ｂ＆Ｃプランニング","大 保食第18-2920号","令和6年5月31日","更新"
25250172,"しゃぶしゃぶ健康　長吉店","飲食店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社　ジーテイスト","大　保環第14691号","令和1年12月27日",NA
25260095,"イオンリテール（株）　長吉店　２Ｆ駐車場（ＣＣＷ受託）","喫茶店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社　アペックス西日本","大 保食第19-5457号","令和6年7月31日","更新"
25260096,"イオンリテール（株）　長吉店　Ｂ１Ｆ（ＣＣＷ受託）","喫茶店営業","平野","長吉長原西１丁目１番１０号",34.608348,135.566122,"株式会社　アペックス西日本","大 保食第19-5460号","令和6年7月31日","更新"
